formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
K3CaP2HO8,mp-696878,4.9617,0.57197415,0.0,icsd-35344,"{19: 3, 20: 1, 15: 2, 1: 1, 8: 8}","[1, 8, 15, 19, 20]",1188152193201,K3Ca1P2H1O8
NaCa2Si3HO9,mp-23792,4.848599999999999,1.6570081,0.0,icsd-34945,"{11: 1, 20: 2, 14: 3, 1: 1, 8: 9}","[1, 8, 11, 14, 20]",1189111143202,Na1Ca2Si3H1O9
CaFe2P2HO9,mp-1200109,1.2012999999999998,2.89132455,0.0,icsd-100143,"{20: 1, 26: 2, 15: 2, 1: 1, 8: 9}","[1, 8, 15, 20, 26]",1189152201262,Ca1Fe2P2H1O9
CaAs2HF13,mp-778977,4.6190999999999995,-3.22743409,0.0,icsd-414129,"{20: 1, 33: 2, 1: 1, 9: 13}","[1, 9, 20, 33]",11913201332,Ca1As2H1F13
Ca4MgAl3,mp-640340,0.0,3.44459218,0.0,icsd-152756,"{20: 4, 12: 1, 13: 3}","[12, 13, 20]",121133204,Ca4Mg1Al3
CaMgSi,mp-5473,0.0,4.41301058,0.0,icsd-239188,"{20: 1, 12: 1, 14: 1}","[12, 14, 20]",121141201,Ca1Mg1Si1
CaMgGe,mp-15641,0.0,3.59213344,0.0,icsd-239193,"{20: 1, 12: 1, 32: 1}","[12, 20, 32]",121201321,Ca1Mg1Ge1
CaMgPd,mp-1102662,0.0,3.56930354,0.0,icsd-426616,"{20: 1, 12: 1, 46: 1}","[12, 20, 46]",121201461,Ca1Mg1Pd1
CaMgSn,mp-4864,0.0,4.77509409,0.0,icsd-42757,"{20: 1, 12: 1, 50: 1}","[12, 20, 50]",121201501,Ca1Mg1Sn1
CaMgPb,mp-861738,0.0,4.71116759,0.0,icsd-619403,"{20: 1, 12: 1, 82: 1}","[12, 20, 82]",121201821,Ca1Mg1Pb1
Ca2MgPd2,mp-1068035,0.0,3.58950493,0.0,icsd-429174,"{20: 2, 12: 1, 46: 2}","[12, 20, 46]",121202462,Ca2Mg1Pd2
Ca2MgPt2,mp-1068002,0.0,4.30514242,0.0,icsd-429175,"{20: 2, 12: 1, 78: 2}","[12, 20, 78]",121202782,Ca2Mg1Pt2
CaH2,mp-23713,3.0275,0.8916838,0.0,icsd-261185,"{20: 1, 1: 2}","[1, 20]",12201,Ca1H2
Ca3SnH2,mp-984605,0.11179999999999968,3.33532382,0.0,icsd-165615,"{20: 3, 50: 1, 1: 2}","[1, 20, 50]",12203501,Ca3Sn1H2
Ca4Mg4Fe3H22,mp-644264,1.4456000000000002,2.19674178,0.0,icsd-67568,"{20: 4, 12: 4, 26: 3, 1: 22}","[1, 12, 20, 26]",122124204263,Ca4Mg4Fe3H22
CaMg2,mp-2432,0.0,2.67991792,0.0,icsd-165564,"{20: 1, 12: 2}","[12, 20]",122201,Ca1Mg2
