formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
MgNiGe,mp-1102387,0.0,5.61274308,0.0,icsd-237302,"{12: 1, 28: 1, 32: 1}","[12, 28, 32]",121281321,Mg1Ni1Ge1
Y4MgNi,mp-1207825,0.030100000000000016,3.56324487,0.0,pf-19966,"{39: 4, 12: 1, 28: 1}","[12, 28, 39]",121281394,Y4Mg1Ni1
MgNiSb,mp-15778,0.0,7.3575539,0.0,icsd-44925,"{12: 1, 28: 1, 51: 1}","[12, 28, 51]",121281511,Mg1Ni1Sb1
Tb4MgNi,mp-1208458,0.012199999999999989,3.67593613,0.0,pf-12149,"{65: 4, 12: 1, 28: 1}","[12, 28, 65]",121281654,Tb4Mg1Ni1
Dy4MgNi,mp-1212902,0.012600000000000389,3.54836958,0.0,pf-22690,"{66: 4, 12: 1, 28: 1}","[12, 28, 66]",121281664,Dy4Mg1Ni1
Ho4MgNi,mp-1212308,0.03639999999999999,3.4596147,0.0,pf-18608,"{67: 4, 12: 1, 28: 1}","[12, 28, 67]",121281674,Ho4Mg1Ni1
Er4MgNi,mp-1212947,0.022299999999999986,3.3664215,0.0,pf-29131,"{68: 4, 12: 1, 28: 1}","[12, 28, 68]",121281684,Er4Mg1Ni1
Tm4MgNi,mp-1208029,0.0,3.46214037,0.0,pf-39580,"{69: 4, 12: 1, 28: 1}","[12, 28, 69]",121281694,Tm4Mg1Ni1
Lu4MgNi,mp-1211003,0.015800000000000036,3.39060407,0.0,pf-8169,"{71: 4, 12: 1, 28: 1}","[12, 28, 71]",121281714,Lu4Mg1Ni1
MgNiBi,mp-29733,0.0,5.74666073,0.0,icsd-76253,"{12: 1, 28: 1, 83: 1}","[12, 28, 83]",121281831,Mg1Ni1Bi1
MgNi2,mp-2675,0.0,6.40921989,0.0,icsd-193568,"{12: 1, 28: 2}","[12, 28]",121282,Mg1Ni2
MgInNi2,mp-19929,0.0,7.24122626,0.0,icsd-51982,"{12: 1, 49: 1, 28: 2}","[12, 28, 49]",121282491,Mg1In1Ni2
MgNi2Sn,mp-30774,0.0,8.39228165,0.0,icsd-104842,"{12: 1, 28: 2, 50: 1}","[12, 28, 50]",121282501,Mg1Ni2Sn1
La2MgNi2,mp-4952,0.0,7.26006018,0.0,icsd-107327,"{57: 2, 12: 1, 28: 2}","[12, 28, 57]",121282572,La2Mg1Ni2
Ce2MgNi2,mp-19910,0.0,7.09370423,0.0,icsd-411012,"{58: 2, 12: 1, 28: 2}","[12, 28, 58]",121282582,Ce2Mg1Ni2
Pr2MgNi2,mp-2926,0.0,4.4792618,0.0,icsd-107328,"{59: 2, 12: 1, 28: 2}","[12, 28, 59]",121282592,Pr2Mg1Ni2
Nd2MgNi2,mp-5925,0.0,4.41051881,0.0,icsd-411079,"{60: 2, 12: 1, 28: 2}","[12, 28, 60]",121282602,Nd2Mg1Ni2
Gd2MgNi2,mp-1205657,0.0,4.31214809,0.0,pf-21077,"{64: 2, 12: 1, 28: 2}","[12, 28, 64]",121282642,Gd2Mg1Ni2
Tb2MgNi2,mp-1206554,0.0,4.66921648,0.0,pf-37936,"{65: 2, 12: 1, 28: 2}","[12, 28, 65]",121282652,Tb2Mg1Ni2
Dy2MgNi2,mp-1206447,0.0,4.55096074,0.0,pf-15589,"{66: 2, 12: 1, 28: 2}","[12, 28, 66]",121282662,Dy2Mg1Ni2
Ho2MgNi2,mp-1205562,0.0,4.44558574,0.0,pf-26158,"{67: 2, 12: 1, 28: 2}","[12, 28, 67]",121282672,Ho2Mg1Ni2
Er2MgNi2,mp-1205516,0.0,4.46905657,0.0,pf-36652,"{68: 2, 12: 1, 28: 2}","[12, 28, 68]",121282682,Er2Mg1Ni2
Tm2MgNi2,mp-1206769,0.0,4.45802004,0.0,pf-5198,"{69: 2, 12: 1, 28: 2}","[12, 28, 69]",121282692,Tm2Mg1Ni2
YMgNi4,mp-3433,0.0,6.01435803,0.0,icsd-183095,"{39: 1, 12: 1, 28: 4}","[12, 28, 39]",121284391,Y1Mg1Ni4
LaMgNi4,mp-3289,0.0,7.65360626,0.0,icsd-184164,"{57: 1, 12: 1, 28: 4}","[12, 28, 57]",121284571,La1Mg1Ni4
CeMgNi4,mp-13435,0.0,7.77475758,0.0,icsd-184165,"{58: 1, 12: 1, 28: 4}","[12, 28, 58]",121284581,Ce1Mg1Ni4
PrMgNi4,mp-13436,0.0,5.67575856,0.0,icsd-237318,"{59: 1, 12: 1, 28: 4}","[12, 28, 59]",121284591,Pr1Mg1Ni4
NdMgNi4,mp-11194,0.0,5.82922867,0.0,icsd-194973,"{60: 1, 12: 1, 28: 4}","[12, 28, 60]",121284601,Nd1Mg1Ni4
GdMgNi4,mp-977381,0.0,5.95301549,0.0,icsd-184167,"{64: 1, 12: 1, 28: 4}","[12, 28, 64]",121284641,Gd1Mg1Ni4
Mg2SiNi3,mp-15779,0.0,7.06593991,0.0,icsd-44926,"{12: 2, 14: 1, 28: 3}","[12, 14, 28]",122141283,Mg2Si1Ni3
Mg2Ni3P,mp-8969,0.0,7.62083967,0.0,icsd-72409,"{12: 2, 28: 3, 15: 1}","[12, 15, 28]",122151283,Mg2Ni3P1
Mg2Ni,mp-2137,0.0,4.66852209,0.0,icsd-56068,"{12: 2, 28: 1}","[12, 28]",122281,Mg2Ni1
LaMg2Ni,mp-11200,0.0,5.94124616,0.0,icsd-96152,"{57: 1, 12: 2, 28: 1}","[12, 28, 57]",122281571,La1Mg2Ni1
CeMg2Ni9,mp-13505,0.0,7.1897912,0.0,icsd-55615,"{58: 1, 12: 2, 28: 9}","[12, 28, 58]",122289581,Ce1Mg2Ni9
LaNiSnH2,mp-24805,0.0,8.19603638,0.0,icsd-157929,"{57: 1, 28: 1, 50: 1, 1: 2}","[1, 28, 50, 57]",12281501571,La1Ni1Sn1H2
CeNiSnH2,mp-542856,0.0,8.0789775,0.0,icsd-157930,"{58: 1, 28: 1, 50: 1, 1: 2}","[1, 28, 50, 58]",12281501581,Ce1Ni1Sn1H2
NdNiSnH2,mp-510582,0.0,6.37406097,0.0,icsd-157932,"{60: 1, 28: 1, 50: 1, 1: 2}","[1, 28, 50, 60]",12281501601,Nd1Ni1Sn1H2
Mg3(Ni10P3)2,mp-14842,0.0,8.36549017,0.0,icsd-72350,"{12: 3, 28: 20, 15: 6}","[12, 15, 28]",1231562820,Mg3Ni20P6
Mg3TiNi2,mp-1191806,0.0,5.09975031,0.0,icsd-187996,"{12: 3, 22: 1, 28: 2}","[12, 22, 28]",123221282,Mg3Ti1Ni2
Tb2Mg3Ni2,mp-570272,0.0,3.93541508,0.0,icsd-240761,"{65: 2, 12: 3, 28: 2}","[12, 28, 65]",123282652,Tb2Mg3Ni2
La23Mg4Ni7,mp-581781,0.0,7.42138396,0.0,icsd-419245,"{57: 23, 12: 4, 28: 7}","[12, 28, 57]",1242875723,La23Mg4Ni7
Pr23Mg4Ni7,mp-569425,0.0,3.88965152,0.0,icsd-419246,"{59: 23, 12: 4, 28: 7}","[12, 28, 59]",1242875923,Pr23Mg4Ni7
Nd23Mg4Ni7,mp-1211441,0.0,3.688409,0.0,pf-10192,"{60: 23, 12: 4, 28: 7}","[12, 28, 60]",1242876023,Nd23Mg4Ni7
U2NiP2(HO)24,mp-1198611,2.4318,1.44360421,0.0,icsd-171964,"{92: 2, 28: 1, 15: 2, 1: 24, 8: 24}","[1, 8, 15, 28, 92]",124824152281922,U2Ni1P2H24O24
Mg5Ni9P7,mp-1210655,0.0,8.32051682,0.0,pf-13097,"{12: 5, 28: 9, 15: 7}","[12, 15, 28]",125157289,Mg5Ni9P7
Mg6Si7Ni16,mp-570457,0.0,8.05093777,0.0,icsd-159261,"{12: 6, 14: 7, 28: 16}","[12, 14, 28]",1261472816,Mg6Si7Ni16
Mg6Ni16Ge7,mp-21725,0.0,6.54296635,0.0,icsd-53680,"{12: 6, 28: 16, 32: 7}","[12, 28, 32]",1262816327,Mg6Ni16Ge7
Mg6Ni16As7,mp-21587,0.0,7.71928333,0.0,icsd-78834,"{12: 6, 28: 16, 33: 7}","[12, 28, 33]",1262816337,Mg6Ni16As7
BaV2Ni3(HO5)2,mp-1205427,2.5875999999999997,1.93646716,0.0,icsd-424330,"{56: 1, 23: 2, 28: 3, 1: 2, 8: 10}","[1, 8, 23, 28, 56]",12810232283561,Ba1V2Ni3H2O10
Ni3H2Se3O10,mp-24540,2.6843000000000004,1.7925722,0.0,icsd-66718,"{28: 3, 1: 2, 34: 3, 8: 10}","[1, 8, 28, 34]",12810283343,Ni3H2Se3O10
Ni3AgP3(HO6)2,mp-24731,2.7641,6.24072943,0.0,icsd-280922,"{28: 3, 47: 1, 15: 3, 1: 2, 8: 12}","[1, 8, 15, 28, 47]",12812153283471,Ni3Ag1P3H2O12
Ni5H2Se6(ClO4)4,mp-1195170,3.0001,3.67578127,0.0,icsd-239334,"{28: 5, 1: 2, 34: 6, 17: 4, 8: 16}","[1, 8, 17, 28, 34]",12816174285346,Ni5H2Se6Cl4O16
KNiPH2O5,mp-644129,4.0043999999999995,1.34008003,0.0,icsd-81290,"{19: 1, 28: 1, 15: 1, 1: 2, 8: 5}","[1, 8, 15, 19, 28]",1285151191281,K1Ni1P1H2O5
NiH2SO5,mp-643570,0.0,3.48141793,0.0,icsd-71347,"{28: 1, 1: 2, 16: 1, 8: 5}","[1, 8, 16, 28]",1285161281,Ni1H2S1O5
NiH2SeO5,mp-23968,2.6943,0.66131148,0.0,icsd-66748,"{28: 1, 1: 2, 34: 1, 8: 5}","[1, 8, 28, 34]",1285281341,Ni1H2Se1O5
NiP2H2O7,mp-1202294,4.8327,0.42708085,0.0,icsd-249422,"{28: 1, 15: 2, 1: 2, 8: 7}","[1, 8, 15, 28]",1287152281,Ni1P2H2O7
ScAlNi2,mp-10898,0.0,7.07468705,0.0,icsd-58050,"{21: 1, 13: 1, 28: 2}","[13, 21, 28]",131211282,Sc1Al1Ni2
TiAlNi2,mp-7187,0.0,8.02161151,0.0,icsd-165902,"{22: 1, 13: 1, 28: 2}","[13, 22, 28]",131221282,Ti1Al1Ni2
MnAlNi2,mp-4922,0.0,7.57571564,0.0,icsd-57976,"{25: 1, 13: 1, 28: 2}","[13, 25, 28]",131251282,Mn1Al1Ni2
AlNi,mp-1487,0.0,10.47765691,0.0,icsd-151386,"{13: 1, 28: 1}","[13, 28]",131281,Al1Ni1
YAlNi,mp-13095,0.0,5.76641317,0.0,icsd-608947,"{39: 1, 13: 1, 28: 1}","[13, 28, 39]",131281391,Y1Al1Ni1
ZrAlNi,mp-5723,0.0,6.56136917,0.0,icsd-106999,"{40: 1, 13: 1, 28: 1}","[13, 28, 40]",131281401,Zr1Al1Ni1
LaAlNi,mp-1211364,0.0,8.25769806,0.0,pf-21675,"{57: 1, 13: 1, 28: 1}","[13, 28, 57]",131281571,La1Al1Ni1
CeAlNi,mp-11351,0.0,8.21983911,0.0,icsd-606495,"{58: 1, 13: 1, 28: 1}","[13, 28, 58]",131281581,Ce1Al1Ni1
PrAlNi,mp-1079699,0.0,5.77126451,0.0,icsd-608831,"{59: 1, 13: 1, 28: 1}","[13, 28, 59]",131281591,Pr1Al1Ni1
NdAlNi,mp-1078757,0.0,5.67141922,0.0,icsd-608770,"{60: 1, 13: 1, 28: 1}","[13, 28, 60]",131281601,Nd1Al1Ni1
GdAlNi,mp-1101090,0.0,5.51335405,0.0,icsd-107418,"{64: 1, 13: 1, 28: 1}","[13, 28, 64]",131281641,Gd1Al1Ni1
TbAlNi,mp-11538,0.0,5.71288795,0.0,icsd-105534,"{65: 1, 13: 1, 28: 1}","[13, 28, 65]",131281651,Tb1Al1Ni1
DyAlNi,mp-3053,0.0,5.75855807,0.0,icsd-107417,"{66: 1, 13: 1, 28: 1}","[13, 28, 66]",131281661,Dy1Al1Ni1
HoAlNi,mp-2909,0.0,5.72146062,0.0,icsd-107223,"{67: 1, 13: 1, 28: 1}","[13, 28, 67]",131281671,Ho1Al1Ni1
