formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Na3Ca3AlAs4,mp-15572,0.9426000000000001,2.67369271,0.0,icsd-402309,"{11: 3, 20: 3, 13: 1, 33: 4}","[11, 13, 20, 33]",113131203334,Na3Ca3Al1As4
Na3Ca3AlSb4,mp-1190339,0.4586000000000001,3.66187123,0.0,icsd-291242,"{11: 3, 20: 3, 13: 1, 51: 4}","[11, 13, 20, 51]",113131203514,Na3Ca3Al1Sb4
Na3AlAs2,mp-8543,0.8472,2.06260567,0.0,icsd-63149,"{11: 3, 13: 1, 33: 2}","[11, 13, 33]",113131332,Na3Al1As2
Na3AlSe3,mp-9682,2.3831,0.81352339,0.0,icsd-300166,"{11: 3, 13: 1, 34: 3}","[11, 13, 34]",113131343,Na3Al1Se3
Na3AlTe3,mp-9680,2.1101,2.06836141,0.0,icsd-300163,"{11: 3, 13: 1, 52: 3}","[11, 13, 52]",113131523,Na3Al1Te3
Na5Al3H14,mp-24822,2.5843000000000003,0.62925777,0.0,icsd-246195,"{11: 5, 13: 3, 1: 14}","[1, 11, 13]",114115133,Na5Al3H14
AlH14SeNO14,mp-1197821,3.5761000000000003,-0.94854148,0.0,icsd-250369,"{13: 1, 1: 14, 34: 1, 7: 1, 8: 14}","[1, 7, 8, 13, 34]",11471814131341,Al1H14Se1N1O14
RbAlBP2HO9,mp-542130,5.2635,1.13374221,0.0,icsd-409608,"{37: 1, 13: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 13, 15, 37]",115189131152371,Rb1Al1B1P2H1O9
CsAlBP2HO9,mp-542129,5.2653,1.25920677,0.0,icsd-409607,"{55: 1, 13: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 13, 15, 55]",115189131152551,Cs1Al1B1P2H1O9
Al2B3HO8,mp-1199198,5.5664,4.48957611,0.0,icsd-249503,"{13: 2, 5: 3, 1: 1, 8: 8}","[1, 5, 8, 13]",115388132,Al2B3H1O8
AlH15N5Cl3,mp-699469,4.6579999999999995,-0.88737129,0.0,icsd-95854,"{13: 1, 1: 15, 7: 5, 17: 3}","[1, 7, 13, 17]",11575131173,Al1H15N5Cl3
AlH15Br3N5,mp-1199829,4.3958,-0.81339534,0.0,icsd-95855,"{13: 1, 1: 15, 35: 3, 7: 5}","[1, 7, 13, 35]",11575131353,Al1H15Br3N5
KAl(BH4)4,mp-1195284,6.646599999999999,2.68062932,0.0,icsd-195116,"{19: 1, 13: 1, 5: 4, 1: 16}","[1, 5, 13, 19]",11654131191,K1Al1B4H16
Al2H16S3O20,mp-850293,5.397799999999999,-0.47777585,0.0,icsd-402267,"{13: 2, 1: 16, 16: 3, 8: 20}","[1, 8, 13, 16]",116820132163,Al2H16S3O20
Na7Al2Sb5,mp-28267,0.29000000000000004,3.62715975,0.0,icsd-48168,"{11: 7, 13: 2, 51: 5}","[11, 13, 51]",117132515,Na7Al2Sb5
AlHO2,mp-625152,5.546000000000001,4.34904862,0.0,icsd-173077,"{13: 1, 1: 1, 8: 2}","[1, 8, 13]",1182131,Al1H1O2
Ba3AlHO4,mp-707218,4.0379000000000005,1.53061796,0.0,icsd-280520,"{56: 3, 13: 1, 1: 1, 8: 4}","[1, 8, 13, 56]",1184131563,Ba3Al1H1O4
AlHSO5,mp-1105277,5.6906,7.79734503,0.0,icsd-193553,"{13: 1, 1: 1, 16: 1, 8: 5}","[1, 8, 13, 16]",1185131161,Al1H1S1O5
