formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
LiH2BrO,mp-754153,4.3086,-0.85858664,0.0,icsd-391154,"{3: 1, 1: 2, 35: 1, 8: 1}","[1, 3, 8, 35]",123181351,Li1H2Br1O1
LiP(HO)2,mp-642650,5.3164,-1.74267339,0.0,icsd-59823,"{3: 1, 15: 1, 1: 2, 8: 2}","[1, 3, 8, 15]",123182151,Li1P1H2O2
LiP(HO2)2,mp-24610,5.5778,-0.64892071,0.0,icsd-182309,"{3: 1, 15: 1, 1: 2, 8: 4}","[1, 3, 8, 15]",123184151,Li1P1H2O4
LiH2ClO5,mp-1195620,5.5649999999999995,4.72774217,0.0,icsd-430214,"{3: 1, 1: 2, 17: 1, 8: 5}","[1, 3, 8, 17]",123185171,Li1H2Cl1O5
LiH2BrO5,mp-1201902,3.0459,-1.48830305,0.0,icsd-79715,"{3: 1, 1: 2, 35: 1, 8: 5}","[1, 3, 8, 35]",123185351,Li1H2Br1O5
LiScH2Se2O7,mp-1196171,4.07,0.39438148,0.0,icsd-239791,"{3: 1, 21: 1, 1: 2, 34: 2, 8: 7}","[1, 3, 8, 21, 34]",123187211342,Li1Sc1H2Se2O7
LiAs3H2O9,mp-1203059,2.8119,2.07214453,0.0,icsd-172987,"{3: 1, 33: 3, 1: 2, 8: 9}","[1, 3, 8, 33]",123189333,Li1As3H2O9
Rb4LiZr3H2F19,mp-557793,6.135400000000001,-2.96827366,0.0,icsd-152167,"{37: 4, 3: 1, 40: 3, 1: 2, 9: 19}","[1, 3, 9, 37, 40]",1231919374403,Rb4Li1Zr3H2F19
Li2H2Pd,mp-644389,0.0,2.19731764,0.0,icsd-108534,"{3: 2, 1: 2, 46: 1}","[1, 3, 46]",1232461,Li2H2Pd1
Li2Mg(HN)2,mp-1193106,2.3086,3.44274381,0.0,icsd-165890,"{3: 2, 12: 1, 1: 2, 7: 2}","[1, 3, 7, 12]",123272121,Li2Mg1H2N2
Li2H2Pt,mp-644136,0.0,2.8125772,0.0,icsd-78958,"{3: 2, 1: 2, 78: 1}","[1, 3, 78]",1232781,Li2H2Pt1
Li3B5(HO5)2,mp-1199091,5.833799999999999,0.47223995,0.0,icsd-418166,"{3: 3, 5: 5, 1: 2, 8: 10}","[1, 3, 5, 8]",123355810,Li3B5H2O10
Li2P7(H3N)9,mp-1198596,2.0904999999999996,2.60055468,0.0,icsd-416230,"{3: 2, 15: 7, 1: 27, 7: 9}","[1, 3, 7, 15]",1273279157,Li2P7H27N9
LiCa7(GeH)3,mp-1202682,0.7149000000000001,3.35145437,0.0,icsd-422831,"{3: 1, 20: 7, 32: 3, 1: 3}","[1, 3, 20, 32]",1331207323,Li1Ca7Ge3H3
BaLiH3,mp-23818,2.2146,1.16875057,0.0,icsd-416463,"{56: 1, 3: 1, 1: 3}","[1, 3, 56]",1331561,Ba1Li1H3
LiEuH3,mp-541365,0.0,3.19817659,0.0,icsd-416461,"{3: 1, 63: 1, 1: 3}","[1, 3, 63]",1331631,Li1Eu1H3
LiH3IN,mp-1103298,3.8235,2.49596239,0.0,icsd-55064,"{3: 1, 1: 3, 53: 1, 7: 1}","[1, 3, 7, 53]",133171531,Li1H3I1N1
K4LiH3(SO4)4,mp-709186,5.394,-0.68170104,0.0,icsd-150859,"{19: 4, 3: 1, 1: 3, 16: 4, 8: 16}","[1, 3, 8, 16, 19]",1331816164194,K4Li1H3S4O16
Rb4LiH3(SO4)4,mp-1198331,5.095000000000001,-0.50479684,0.0,icsd-413717,"{37: 4, 3: 1, 1: 3, 16: 4, 8: 16}","[1, 3, 8, 16, 37]",1331816164374,Rb4Li1H3S4O16
LiH3O2,mp-27281,4.543,-1.70024178,0.0,icsd-9138,"{3: 1, 1: 3, 8: 2}","[1, 3, 8]",133182,Li1H3O2
LiAs2H3O7,mp-1192746,3.301,-0.2412673,0.0,icsd-172988,"{3: 1, 33: 2, 1: 3, 8: 7}","[1, 3, 8, 33]",133187332,Li1As2H3O7
KLi2(HO)3,mp-1188395,4.2639,2.99959147,0.0,icsd-65148,"{19: 1, 3: 2, 1: 3, 8: 3}","[1, 3, 8, 19]",133283191,K1Li2H3O3
CsLi2(HO)3,mp-697181,4.1415,-0.58142131,0.0,icsd-51678,"{55: 1, 3: 2, 1: 3, 8: 3}","[1, 3, 8, 55]",133283551,Cs1Li2H3O3
Li4Mg(HN)3,mp-1101935,2.9272,1.1316559,0.0,icsd-165891,"{3: 4, 12: 1, 1: 3, 7: 3}","[1, 3, 7, 12]",133473121,Li4Mg1H3N3
Li4H3ClO3,mp-643259,4.4775,-1.91211795,0.0,icsd-74929,"{3: 4, 1: 3, 17: 1, 8: 3}","[1, 3, 8, 17]",133483171,Li4H3Cl1O3
