formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
K2ZnH12(SeO7)2,mp-1197205,3.6817,2.22206421,0.0,icsd-710001,"{19: 2, 30: 1, 1: 12, 34: 2, 8: 14}","[1, 8, 19, 30, 34]",112814192301342,K2Zn1H12Se2O14
K2Zr2NiH12(OF2)6,mp-1199679,5.1419,3.16395831,0.0,icsd-261154,"{19: 2, 40: 2, 28: 1, 1: 12, 8: 6, 9: 12}","[1, 8, 9, 19, 28, 40]",11286912192281402,K2Zr2Ni1H12O6F12
K2Zr2ZnH12(OF2)6,mp-707219,6.710699999999999,-1.98822472,0.0,icsd-39734,"{19: 2, 40: 2, 30: 1, 1: 12, 8: 6, 9: 12}","[1, 8, 9, 19, 30, 40]",11286912192301402,K2Zr2Zn1H12O6F12
K6Na3AlSb4,mp-541707,0.7282999999999997,1.90261153,0.0,icsd-401209,"{19: 6, 11: 3, 13: 1, 51: 4}","[11, 13, 19, 51]",113131196514,K6Na3Al1Sb4
K2Na3SiP3,mp-541694,0.8900999999999999,1.94149242,0.0,icsd-300203,"{19: 2, 11: 3, 14: 1, 15: 3}","[11, 14, 15, 19]",113141153192,K2Na3Si1P3
K6Na3GaSb4,mp-6112,0.6974,1.72406094,0.0,icsd-87593,"{19: 6, 11: 3, 31: 1, 51: 4}","[11, 19, 31, 51]",113196311514,K6Na3Ga1Sb4
K2AsH13O10,mp-1196329,4.3998,-2.10668814,0.0,icsd-424696,"{19: 2, 33: 1, 1: 13, 8: 10}","[1, 8, 19, 33]",113810192331,K2As1H13O10
KNa4GeAs3,mp-16921,0.6355999999999999,1.38881797,0.0,icsd-300204,"{19: 1, 11: 4, 32: 1, 33: 3}","[11, 19, 32, 33]",114191321333,K1Na4Ge1As3
K2Na4ZnSn2,mp-1211956,0.5203999999999998,1.80326125,0.0,pf-38505,"{19: 2, 11: 4, 30: 1, 50: 2}","[11, 19, 30, 50]",114192301502,K2Na4Zn1Sn2
KScBP2HO9,mp-23808,4.6379,0.63339015,0.0,icsd-409883,"{19: 1, 21: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 19, 21]",115189152191211,K1Sc1B1P2H1O9
