formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
MgBHO3,mp-23748,5.4376999999999995,1.43306323,0.0,icsd-161275,"{12: 1, 5: 1, 1: 1, 8: 3}","[1, 5, 8, 12]",115183121,Mg1B1H1O3
Na6MgCl8,mp-1210184,5.244,-0.98684329,0.0,pf-5138,"{11: 6, 12: 1, 17: 8}","[11, 12, 17]",116121178,Na6Mg1Cl8
MgH16(IO4)2,mp-1203034,3.7464,2.36107154,0.0,icsd-189843,"{12: 1, 1: 16, 53: 2, 8: 8}","[1, 8, 12, 53]",11688121532,Mg1H16I2O8
MgHN,mp-1185888,2.2586999999999997,0.98054197,0.0,icsd-261304,"{12: 1, 1: 1, 7: 1}","[1, 7, 12]",1171121,Mg1H1N1
MgHOF,mp-1189172,4.7269000000000005,0.66314172,0.0,icsd-186501,"{12: 1, 1: 1, 8: 1, 9: 1}","[1, 8, 9, 12]",118191121,Mg1H1O1F1
Mg2PHO5,mp-23740,4.9826999999999995,1.61200475,0.0,icsd-159331,"{12: 2, 15: 1, 1: 1, 8: 5}","[1, 8, 12, 15]",1185122151,Mg2P1H1O5
NaMg2HSe2O7,mp-1195419,4.567,0.79783967,0.0,icsd-429556,"{11: 1, 12: 2, 1: 1, 34: 2, 8: 7}","[1, 8, 11, 12, 34]",1187111122342,Na1Mg2H1Se2O7
Na3MgP2HO8,mp-643658,4.572,1.6731567,0.0,icsd-81226,"{11: 3, 12: 1, 15: 2, 1: 1, 8: 8}","[1, 8, 11, 12, 15]",1188113121152,Na3Mg1P2H1O8
MgH18Br2O9,mp-1199138,4.4417,2.46777386,0.0,icsd-189840,"{12: 1, 1: 18, 35: 2, 8: 9}","[1, 8, 12, 35]",11889121352,Mg1H18Br2O9
MgH18I2O9,mp-1200673,3.8473,-1.02747353,0.0,icsd-189841,"{12: 1, 1: 18, 53: 2, 8: 9}","[1, 8, 12, 53]",11889121532,Mg1H18I2O9
MgHAu2F11,mp-1202806,1.6864,-3.19276263,0.0,icsd-415872,"{12: 1, 1: 1, 79: 2, 9: 11}","[1, 9, 12, 79]",11911121792,Mg1H1Au2F11
MgU2P2(H10O11)2,mp-1211200,2.4364,1.68039693,0.0,pf-21452,"{12: 1, 92: 2, 15: 2, 1: 20, 8: 22}","[1, 8, 12, 15, 92]",120822121152922,Mg1U2P2H20O22
Mg,mp-153,0.0,2.03846677,0.0,icsd-77908,{12: 1},[12],121,Mg1
La3MgAlS7,mp-1190945,2.2951999999999995,5.21468258,0.0,icsd-608298,"{57: 3, 12: 1, 13: 1, 16: 7}","[12, 13, 16, 57]",121131167573,La3Mg1Al1S7
YMgAl,mp-13090,0.0,4.17909682,0.0,icsd-160908,"{39: 1, 12: 1, 13: 1}","[12, 13, 39]",121131391,Y1Mg1Al1
Mg(AlS2)2,mp-3872,3.0678,3.80833953,0.0,icsd-38344,"{12: 1, 13: 2, 16: 4}","[12, 13, 16]",121132164,Mg1Al2S4
Mg(AlCl4)2,mp-542463,5.5324,-1.4579026,0.0,icsd-62046,"{12: 1, 13: 2, 17: 8}","[12, 13, 17]",121132178,Mg1Al2Cl8
MgAl2Cu,mp-3034,0.0,6.70274094,0.0,icsd-186681,"{12: 1, 13: 2, 29: 1}","[12, 13, 29]",121132291,Mg1Al2Cu1
Ca4MgAl3,mp-640340,0.0,3.44459218,0.0,icsd-152756,"{20: 4, 12: 1, 13: 3}","[12, 13, 20]",121133204,Ca4Mg1Al3
MgSiP2,mp-2961,1.3728000000000007,4.14841178,0.0,icsd-44108,"{12: 1, 14: 1, 15: 2}","[12, 14, 15]",121141152,Mg1Si1P2
MgCu2SiS4,mp-1205334,1.6730999999999998,6.39492819,0.0,icsd-425554,"{12: 1, 29: 2, 14: 1, 16: 4}","[12, 14, 16, 29]",121141164292,Mg1Cu2Si1S4
CaMgSi,mp-5473,0.0,4.41301058,0.0,icsd-239188,"{20: 1, 12: 1, 14: 1}","[12, 14, 20]",121141201,Ca1Mg1Si1
MgCu2SiSe4,mp-1188827,0.8180000000000001,3.62271708,0.0,icsd-425556,"{12: 1, 29: 2, 14: 1, 34: 4}","[12, 14, 29, 34]",121141292344,Mg1Cu2Si1Se4
MgSiAs2,mp-1016197,1.3031999999999995,3.34683907,0.0,icsd-237070,"{12: 1, 14: 1, 33: 2}","[12, 14, 33]",121141332,Mg1Si1As2
SrMgSi,mp-15642,0.03299999999999992,3.96555844,0.0,icsd-191038,"{38: 1, 12: 1, 14: 1}","[12, 14, 38]",121141381,Sr1Mg1Si1
BaMgSi,mp-9934,0.0,3.82786434,0.0,icsd-191039,"{56: 1, 12: 1, 14: 1}","[12, 14, 56]",121141561,Ba1Mg1Si1
EuMgSi,mp-1102652,0.0,4.12343029,0.0,icsd-602719,"{63: 1, 12: 1, 14: 1}","[12, 14, 63]",121141631,Eu1Mg1Si1
SrMgSi2,mp-29002,0.0,5.07039545,0.0,icsd-78999,"{38: 1, 12: 1, 14: 2}","[12, 14, 38]",121142381,Sr1Mg1Si2
Y2MgSi2,mp-1205496,0.0,5.03783768,0.0,pf-38002,"{39: 2, 12: 1, 14: 2}","[12, 14, 39]",121142392,Y2Mg1Si2
