formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
RbAlBP2HO9,mp-542130,5.2635,1.13374221,0.0,icsd-409608,"{37: 1, 13: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 13, 15, 37]",115189131152371,Rb1Al1B1P2H1O9
CsAlBP2HO9,mp-542129,5.2653,1.25920677,0.0,icsd-409607,"{55: 1, 13: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 13, 15, 55]",115189131152551,Cs1Al1B1P2H1O9
KScBP2HO9,mp-23808,4.6379,0.63339015,0.0,icsd-409883,"{19: 1, 21: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 19, 21]",115189152191211,K1Sc1B1P2H1O9
KVBP2HO9,mp-24827,1.7431,3.79036325,0.0,icsd-409957,"{19: 1, 23: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 19, 23]",115189152191231,K1V1B1P2H1O9
KFeBP2HO9,mp-1204854,2.8184,0.37874258,0.0,icsd-422900,"{19: 1, 26: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 19, 26]",115189152191261,K1Fe1B1P2H1O9
KInBP2HO9,mp-1193408,4.1152,1.13343572,0.0,icsd-409583,"{19: 1, 49: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 19, 49]",115189152191491,K1In1B1P2H1O9
RbScBP2HO9,mp-23809,4.806,0.67910777,0.0,icsd-409884,"{37: 1, 21: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 21, 37]",115189152211371,Rb1Sc1B1P2H1O9
RbVBP2HO9,mp-767613,1.7429000000000001,1.59214161,0.0,icsd-409468,"{37: 1, 23: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 23, 37]",115189152231371,Rb1V1B1P2H1O9
RbFeBP2HO9,mp-24648,2.3976,0.51798349,0.0,icsd-410721,"{37: 1, 26: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 26, 37]",115189152261371,Rb1Fe1B1P2H1O9
CsFeBP2HO9,mp-757463,0.9450000000000001,1.42602301,0.0,icsd-409432,"{55: 1, 26: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 26, 55]",115189152261551,Cs1Fe1B1P2H1O9
CsGaBP2HO9,mp-1201408,4.6544,0.63534832,0.0,icsd-409696,"{55: 1, 31: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 31, 55]",115189152311551,Cs1Ga1B1P2H1O9
RbInBP2HO9,mp-766175,3.8236000000000003,1.08413335,0.0,icsd-409599,"{37: 1, 49: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 37, 49]",115189152371491,Rb1In1B1P2H1O9
RbB2P2HO9,mp-758281,5.7824,0.36560564,0.0,icsd-406878,"{37: 1, 5: 2, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 37]",115289152371,Rb1B2P2H1O9
CsB2P2HO9,mp-1198124,5.827,0.30468976,0.0,icsd-406879,"{55: 1, 5: 2, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 55]",115289152551,Cs1B2P2H1O9
PrB2HF10,mp-861500,7.7517,-2.71478032,0.0,icsd-420466,"{59: 1, 5: 2, 1: 1, 9: 10}","[1, 5, 9, 59]",1152910591,Pr1B2H1F10
NdB2HF10,mp-977417,7.554399999999999,-2.82482352,0.0,icsd-420467,"{60: 1, 5: 2, 1: 1, 9: 10}","[1, 5, 9, 60]",1152910601,Nd1B2H1F10
Na2B3HO6,mp-706631,4.6148,0.71616466,0.0,icsd-8223,"{11: 2, 5: 3, 1: 1, 8: 6}","[1, 5, 8, 11]",115386112,Na2B3H1O6
CaB3HO6,mp-1194867,5.8113,1.16723702,0.0,icsd-252381,"{20: 1, 5: 3, 1: 1, 8: 6}","[1, 5, 8, 20]",115386201,Ca1B3H1O6
Al2B3HO8,mp-1199198,5.5664,4.48957611,0.0,icsd-249503,"{13: 2, 5: 3, 1: 1, 8: 8}","[1, 5, 8, 13]",115388132,Al2B3H1O8
Sr2B5HO10,mp-1202819,4.7715,0.90534883,0.0,icsd-424086,"{38: 2, 5: 5, 1: 1, 8: 10}","[1, 5, 8, 38]",1155810382,Sr2B5H1O10
Ba2B5HO10,mp-1198110,4.787400000000001,0.7525282,0.0,icsd-424087,"{56: 2, 5: 5, 1: 1, 8: 10}","[1, 5, 8, 56]",1155810562,Ba2B5H1O10
K4Ba2B14H16O33,mp-1199499,4.9133,-0.09115181,0.0,icsd-426108,"{19: 4, 56: 2, 5: 14, 1: 16, 8: 33}","[1, 5, 8, 19, 56]",116514833194562,K4Ba2B14H16O33
NaSc(BH4)4,mp-866649,4.5382,-3.26937812,0.0,icsd-166748,"{11: 1, 21: 1, 5: 4, 1: 16}","[1, 5, 11, 21]",11654111211,Na1Sc1B4H16
KAl(BH4)4,mp-1195284,6.646599999999999,2.68062932,0.0,icsd-195116,"{19: 1, 13: 1, 5: 4, 1: 16}","[1, 5, 13, 19]",11654131191,K1Al1B4H16
KGd(BH4)4,mp-1194808,2.4168,-0.91849426,0.0,icsd-252618,"{19: 1, 64: 1, 5: 4, 1: 16}","[1, 5, 19, 64]",11654191641,K1Gd1B4H16
RbY(BH4)4,mp-1201985,6.1376,1.91585337,0.0,icsd-425544,"{37: 1, 39: 1, 5: 4, 1: 16}","[1, 5, 37, 39]",11654371391,Rb1Y1B4H16
Zr(BH4)4,mp-1191059,5.2943,0.37715433,0.0,icsd-250640,"{40: 1, 5: 4, 1: 16}","[1, 5, 40]",11654401,Zr1B4H16
Hf(BH4)4,mp-28040,5.7195,-4.17570967,0.0,icsd-35379,"{72: 1, 5: 4, 1: 16}","[1, 5, 72]",11654721,Hf1B4H16
U(BH4)4,mp-27350,0.07400000000000007,0.5788275,0.0,icsd-10339,"{92: 1, 5: 4, 1: 16}","[1, 5, 92]",11654921,U1B4H16
Np(BH4)4,mp-505372,0.0,-1.66863117,0.0,icsd-200694,"{93: 1, 5: 4, 1: 16}","[1, 5, 93]",11654931,Np1B4H16
K(B7H6)3,mp-1198890,4.3822,1.98167865,0.0,icsd-173003,"{19: 1, 5: 21, 1: 18}","[1, 5, 19]",118521191,K1B21H18
KCa4B22H18ClO46,mp-722344,5.5100999999999996,0.07435818,0.0,icsd-39637,"{19: 1, 20: 4, 5: 22, 1: 18, 17: 1, 8: 46}","[1, 5, 8, 17, 19, 20]",118522846171191204,K1Ca4B22H18Cl1O46
LiZn2(BH4)5,mp-1198025,5.7198,-4.21263501,0.0,icsd-246766,"{3: 1, 30: 2, 5: 5, 1: 20}","[1, 3, 5, 30]",1203155302,Li1Zn2B5H20
NaZn2(BH4)5,mp-1201672,6.1594999999999995,-4.61311763,0.0,icsd-169828,"{11: 1, 30: 2, 5: 5, 1: 20}","[1, 5, 11, 30]",12055111302,Na1Zn2B5H20
LiB5H2O9,mp-740714,6.0817,-1.13172238,0.0,icsd-72519,"{3: 1, 5: 5, 1: 2, 8: 9}","[1, 3, 5, 8]",12315589,Li1B5H2O9
Li3B5(HO5)2,mp-1199091,5.833799999999999,0.47223995,0.0,icsd-418166,"{3: 3, 5: 5, 1: 2, 8: 10}","[1, 3, 5, 8]",123355810,Li3B5H2O10
CuBP4H24C8(SF)4,mp-1195164,3.1191,3.20106299,0.0,icsd-195527,"{29: 1, 5: 1, 15: 4, 1: 24, 6: 8, 16: 4, 9: 4}","[1, 5, 6, 9, 15, 16, 29]",124516894154164291,Cu1B1P4H24C8S4F4
NaMn2Si3BH2O11,mp-1197081,0.0,3.97583483,0.0,icsd-192916,"{11: 1, 25: 2, 14: 3, 5: 1, 1: 2, 8: 11}","[1, 5, 8, 11, 14, 25]",1251811111143252,Na1Mn2Si3B1H2O11
BH2OF3,mp-707009,7.567699999999999,-4.20431548,0.0,icsd-24784,"{5: 1, 1: 2, 8: 1, 9: 3}","[1, 5, 8, 9]",12518193,B1H2O1F3
AgBH2OF4,mp-24058,3.044,-1.38990709,0.0,icsd-402366,"{47: 1, 5: 1, 1: 2, 8: 1, 9: 4}","[1, 5, 8, 9, 47]",12518194471,Ag1B1H2O1F4
KMnBP2H2O9,mp-1197780,4.6073,5.56320623,0.0,icsd-422901,"{19: 1, 25: 1, 5: 1, 15: 2, 1: 2, 8: 9}","[1, 5, 8, 15, 19, 25]",125189152191251,K1Mn1B1P2H2O9
