formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
NaCaSiHO4,mp-634418,4.4923,1.42958548,0.0,icsd-97911,"{11: 1, 20: 1, 14: 1, 1: 1, 8: 4}","[1, 8, 11, 14, 20]",1184111141201,Na1Ca1Si1H1O4
NaZnSiHO4,mp-699219,3.4269,0.67180708,0.0,icsd-88001,"{11: 1, 30: 1, 14: 1, 1: 1, 8: 4}","[1, 8, 11, 14, 30]",1184111141301,Na1Zn1Si1H1O4
Rb5SiHO5,mp-861513,2.5914,0.76175811,0.0,icsd-417054,"{37: 5, 14: 1, 1: 1, 8: 5}","[1, 8, 14, 37]",1185141375,Rb5Si1H1O5
KSi2HO5,mp-1203642,5.0122,-0.01856024,0.0,icsd-23516,"{19: 1, 14: 2, 1: 1, 8: 5}","[1, 8, 14, 19]",1185142191,K1Si2H1O5
NaCa2Si3HO9,mp-23792,4.848599999999999,1.6570081,0.0,icsd-34945,"{11: 1, 20: 2, 14: 3, 1: 1, 8: 9}","[1, 8, 11, 14, 20]",1189111143202,Na1Ca2Si3H1O9
Na2AlSi3HO9,mp-706617,4.671099999999999,0.8012375,0.0,icsd-6265,"{11: 2, 13: 1, 14: 3, 1: 1, 8: 9}","[1, 8, 11, 13, 14]",1189112131143,Na2Al1Si3H1O9
MgSiP2,mp-2961,1.3728000000000007,4.14841178,0.0,icsd-44108,"{12: 1, 14: 1, 15: 2}","[12, 14, 15]",121141152,Mg1Si1P2
MgCu2SiS4,mp-1205334,1.6730999999999998,6.39492819,0.0,icsd-425554,"{12: 1, 29: 2, 14: 1, 16: 4}","[12, 14, 16, 29]",121141164292,Mg1Cu2Si1S4
CaMgSi,mp-5473,0.0,4.41301058,0.0,icsd-239188,"{20: 1, 12: 1, 14: 1}","[12, 14, 20]",121141201,Ca1Mg1Si1
MgCu2SiSe4,mp-1188827,0.8180000000000001,3.62271708,0.0,icsd-425556,"{12: 1, 29: 2, 14: 1, 34: 4}","[12, 14, 29, 34]",121141292344,Mg1Cu2Si1Se4
MgSiAs2,mp-1016197,1.3031999999999995,3.34683907,0.0,icsd-237070,"{12: 1, 14: 1, 33: 2}","[12, 14, 33]",121141332,Mg1Si1As2
SrMgSi,mp-15642,0.03299999999999992,3.96555844,0.0,icsd-191038,"{38: 1, 12: 1, 14: 1}","[12, 14, 38]",121141381,Sr1Mg1Si1
BaMgSi,mp-9934,0.0,3.82786434,0.0,icsd-191039,"{56: 1, 12: 1, 14: 1}","[12, 14, 56]",121141561,Ba1Mg1Si1
EuMgSi,mp-1102652,0.0,4.12343029,0.0,icsd-602719,"{63: 1, 12: 1, 14: 1}","[12, 14, 63]",121141631,Eu1Mg1Si1
SrMgSi2,mp-29002,0.0,5.07039545,0.0,icsd-78999,"{38: 1, 12: 1, 14: 2}","[12, 14, 38]",121142381,Sr1Mg1Si2
Y2MgSi2,mp-1205496,0.0,5.03783768,0.0,pf-38002,"{39: 2, 12: 1, 14: 2}","[12, 14, 39]",121142392,Y2Mg1Si2
LaMgSi2,mp-568173,0.0,7.40357793,0.0,icsd-246386,"{57: 1, 12: 1, 14: 2}","[12, 14, 57]",121142571,La1Mg1Si2
La2MgSi2,mp-1205762,0.0,6.97733786,0.0,pf-6616,"{57: 2, 12: 1, 14: 2}","[12, 14, 57]",121142572,La2Mg1Si2
CeMgSi2,mp-3545,0.0,7.37839927,0.0,icsd-246387,"{58: 1, 12: 1, 14: 2}","[12, 14, 58]",121142581,Ce1Mg1Si2
Ce2MgSi2,mp-505296,0.0,7.10789609,0.0,icsd-83915,"{58: 2, 12: 1, 14: 2}","[12, 14, 58]",121142582,Ce2Mg1Si2
PrMgSi2,mp-569384,0.0,5.81753863,0.0,icsd-246388,"{59: 1, 12: 1, 14: 2}","[12, 14, 59]",121142591,Pr1Mg1Si2
Pr2MgSi2,mp-1205589,0.0,4.67727157,0.0,pf-27638,"{59: 2, 12: 1, 14: 2}","[12, 14, 59]",121142592,Pr2Mg1Si2
NdMgSi2,mp-568049,0.0,5.82711109,0.0,icsd-246389,"{60: 1, 12: 1, 14: 2}","[12, 14, 60]",121142601,Nd1Mg1Si2
Nd2MgSi2,mp-1205494,0.0,4.6637032,0.0,pf-38093,"{60: 2, 12: 1, 14: 2}","[12, 14, 60]",121142602,Nd2Mg1Si2
Sm2MgSi2,mp-1208848,0.0,4.65763606,0.0,pf-17003,"{62: 2, 12: 1, 14: 2}","[12, 14, 62]",121142622,Sm2Mg1Si2
Gd2MgSi2,mp-1205813,0.0,4.73513532,0.0,pf-6708,"{64: 2, 12: 1, 14: 2}","[12, 14, 64]",121142642,Gd2Mg1Si2
Tb2MgSi2,mp-1205816,0.0,4.94184728,0.0,pf-17163,"{65: 2, 12: 1, 14: 2}","[12, 14, 65]",121142652,Tb2Mg1Si2
Dy2MgSi2,mp-570561,0.0,4.8030281,0.0,icsd-415117,"{66: 2, 12: 1, 14: 2}","[12, 14, 66]",121142662,Dy2Mg1Si2
Ho2MgSi2,mp-1205678,0.0,4.94803956,0.0,pf-36798,"{67: 2, 12: 1, 14: 2}","[12, 14, 67]",121142672,Ho2Mg1Si2
Er2MgSi2,mp-1206813,0.0,4.97391059,0.0,pf-5335,"{68: 2, 12: 1, 14: 2}","[12, 14, 68]",121142682,Er2Mg1Si2
Tm2MgSi2,mp-1206569,0.0,4.9624329,0.0,pf-15797,"{69: 2, 12: 1, 14: 2}","[12, 14, 69]",121142692,Tm2Mg1Si2
MgSi7Ir3,mp-13241,0.0,8.82817808,0.0,icsd-249150,"{12: 1, 14: 7, 77: 3}","[12, 14, 77]",121147773,Mg1Si7Ir3
Si2H2S3,mp-28090,3.3657,0.30073472,0.0,icsd-36379,"{14: 2, 1: 2, 16: 3}","[1, 14, 16]",12142163,Si2H2S3
Mg15Si2Ir5,mp-568029,0.0,4.89244713,0.0,icsd-95783,"{12: 15, 14: 2, 77: 5}","[12, 14, 77]",1215142775,Mg15Si2Ir5
Ba5Mg18Si13,mp-5080,0.0,4.48064863,0.0,icsd-410451,"{56: 5, 12: 18, 14: 13}","[12, 14, 56]",12181413565,Ba5Mg18Si13
Mg2Si,mp-1367,0.21799999999999997,3.40203031,0.0,icsd-181248,"{12: 2, 14: 1}","[12, 14]",122141,Mg2Si1
Mg2SiS4,mp-1193963,2.9690999999999996,6.22807774,0.0,icsd-642791,"{12: 2, 14: 1, 16: 4}","[12, 14, 16]",122141164,Mg2Si1S4
Mg2SiNi3,mp-15779,0.0,7.06593991,0.0,icsd-44926,"{12: 2, 14: 1, 28: 3}","[12, 14, 28]",122141283,Mg2Si1Ni3
Mg2Cu3Si,mp-10746,0.0,6.8276209,0.0,icsd-53304,"{12: 2, 29: 3, 14: 1}","[12, 14, 29]",122141293,Mg2Cu3Si1
Mg2SiSe4,mp-1192582,2.131,4.70185541,0.0,icsd-642818,"{12: 2, 14: 1, 34: 4}","[12, 14, 34]",122141344,Mg2Si1Se4
Mg2SiPt,mp-14793,0.0,7.05286104,0.0,icsd-68513,"{12: 2, 14: 1, 78: 1}","[12, 14, 78]",122141781,Mg2Si1Pt1
Ba(MgSi)2,mp-7875,0.0,4.50520785,0.0,icsd-25311,"{56: 1, 12: 2, 14: 2}","[12, 14, 56]",122142561,Ba1Mg2Si2
La(MgSi)2,mp-1206521,0.0,6.67152309,0.0,pf-39406,"{57: 1, 12: 2, 14: 2}","[12, 14, 57]",122142571,La1Mg2Si2
Ce(MgSi)2,mp-19865,0.0,6.45158962,0.0,icsd-16180,"{58: 1, 12: 2, 14: 2}","[12, 14, 58]",122142581,Ce1Mg2Si2
La6Mg23Si,mp-1211430,0.0,3.72171249,0.0,pf-7998,"{57: 6, 12: 23, 14: 1}","[12, 14, 57]",1223141576,La6Mg23Si1
Ba2Mg3Si4,mp-29564,0.0,4.65073225,0.0,icsd-408938,"{56: 2, 12: 3, 14: 4}","[12, 14, 56]",123144562,Ba2Mg3Si4
Mg3Si8Ir3,mp-569313,0.0,7.34325424,0.0,icsd-416868,"{12: 3, 14: 8, 77: 3}","[12, 14, 77]",123148773,Mg3Si8Ir3
BaMg4Si3,mp-1079433,0.0,4.38147396,0.0,icsd-165630,"{56: 1, 12: 4, 14: 3}","[12, 14, 56]",124143561,Ba1Mg4Si3
Ca3Be2Si3(HO6)2,mp-699464,5.168799999999999,1.91987524,0.0,icsd-95362,"{20: 3, 4: 2, 14: 3, 1: 2, 8: 12}","[1, 4, 8, 14, 20]",1242812143203,Ca3Be2Si3H2O12
