2theta,Intensity
18.08,20.6667
18.1,16.6667
18.12,18.6667
18.14,15.3333
18.16,14
18.18,14
18.2,14
18.22,14.6667
18.24,14.6667
18.26,15.3333
18.28,11.3333
18.3,10.6667
18.32,10
18.34,12
18.36,12
18.38,15.3333
18.4,14.6667
18.42,15.3333
18.44,12.6667
18.46,10
18.48,11.3333
18.5,13.3333
18.52,15.3333
18.54,14
18.56,14
18.58,13.3333
18.6,18.6667
18.62,18
18.64,16
18.66,16.6667
18.68,15.3333
18.7,15.3333
18.72,19.3333
18.74,24
18.76,26
18.78,29.3333
18.8,37.3333
18.82,46
18.84,46.6667
18.86,63.3333
18.88,82.6667
18.9,102
18.92,124
18.94,145.333
18.96,160
18.98,181.333
19,190
19.02,202.667
19.04,215.333
19.06,190
19.08,163.333
19.1,130.667
19.12,89.3333
19.14,64.6667
19.16,55.3333
19.18,53.3333
19.2,50
19.22,57.3333
19.24,64
19.26,78
19.28,81.3333
19.3,87.3333
19.32,100.667
19.34,124.667
19.36,146.667
19.38,151.333
19.4,148.667
19.42,146
19.44,126.667
19.46,97.3333
19.48,80.6667
19.5,56.6667
19.52,39.3333
19.54,28
19.56,19.3333
19.58,21.3333
19.6,21.3333
19.62,20.6667
19.64,20.6667
19.66,16.6667
19.68,20.6667
19.7,19.3333
19.72,15.3333
19.74,15.3333
19.76,14
19.78,17.3333
19.8,16
19.82,16
19.84,16.6667
19.86,17.3333
19.88,14.6667
19.9,14
19.92,12
19.94,9.33333
19.96,12
19.98,14.6667
20,12
20.02,10.6667
20.04,12.6667
20.06,12.6667
20.08,13.3333
20.1,13.3333
20.12,12
20.14,14.6667
20.16,12.6667
20.18,11.3333
20.2,16
20.22,20.6667
20.24,25.3333
20.26,27.3333
20.28,24.6667
20.3,28
20.32,30
20.34,32
20.36,32.6667
20.38,29.3333
20.4,29.3333
20.42,25.3333
20.44,24.6667
20.46,20.6667
20.48,14
20.5,12
20.52,10
20.54,8.66667
20.56,10.6667
20.58,11.3333
20.6,12
20.62,11.3333
20.64,11.3333
20.66,12
20.68,12.6667
20.7,12
20.72,9.33333
20.74,10
20.76,9.33333
20.78,11.3333
20.8,14.6667
20.82,10.6667
20.84,9.33333
20.86,13.3333
20.88,16.6667
20.9,15.3333
20.92,13.3333
20.94,14
20.96,15.3333
20.98,14
21,13.3333
21.02,14
21.04,14
21.06,14.6667
21.08,18
21.1,22.6667
21.12,20.6667
21.14,21.3333
21.16,32
21.18,42
21.2,48
21.22,54
21.24,65.3333
21.26,93.3333
21.28,121.333
21.3,132
21.32,154.667
21.34,190
21.36,200.667
21.38,191.333
21.4,187.333
21.42,180
21.44,168.667
21.46,131.333
21.48,104
21.5,85.3333
21.52,56
21.54,29.3333
21.56,21.3333
21.58,21.3333
21.6,21.3333
21.62,16.6667
21.64,14.6667
21.66,12.6667
21.68,12
21.7,14.6667
21.72,16.6667
21.74,17.3333
21.76,15.3333
21.78,13.3333
21.8,14
21.82,16
21.84,12.6667
21.86,11.3333
21.88,14.6667
21.9,12.6667
21.92,13.3333
21.94,11.3333
21.96,8
21.98,9.33333
22,9.33333
22.02,10.6667
22.04,13.3333
22.06,12.6667
22.08,13.3333
22.1,12
22.12,14
22.14,15.3333
22.16,10.6667
22.18,10
22.2,9.33333
22.22,8.66667
22.24,9.33333
22.26,12
22.28,18.6667
22.3,17.3333
22.32,12
22.34,10.6667
22.36,6
22.38,8
22.4,9.33333
22.42,10.6667
22.44,10.6667
22.46,12
22.48,9.33333
22.5,9.33333
22.52,9.33333
22.54,12
22.56,11.3333
22.58,12
22.6,7.33333
22.62,10
22.64,9.33333
22.66,6.66667
