2theta,Intensity
17.7,16.6667
17.72,18.3333
17.74,27.5
17.76,22.5
17.78,32.5
17.8,30.8333
17.82,25
17.84,38.3333
17.86,50
17.88,54.1667
17.9,57.5
17.92,78.3333
17.94,78.3333
17.96,79.1667
17.98,77.5
18,70.8333
18.02,67.5
18.04,58.3333
18.06,53.3333
18.08,37.5
18.1,29.1667
18.12,25.8333
18.14,15.8333
18.16,15
18.18,20.8333
18.2,16.6667
18.22,11.6667
18.24,11.6667
18.26,15
18.28,14.1667
18.3,15
18.32,14.1667
18.34,11.6667
18.36,13.3333
18.38,10.8333
18.4,13.3333
18.42,14.1667
18.44,10.8333
18.46,9.16667
18.48,9.16667
18.5,9.16667
18.52,13.3333
18.54,11.6667
18.56,10
18.58,10
18.6,9.16667
18.62,11.6667
18.64,12.5
18.66,12.5
18.68,12.5
18.7,11.6667
18.72,10
18.74,11.6667
18.76,13.3333
18.78,11.6667
18.8,16.6667
18.82,19.1667
18.84,15
18.86,21.6667
18.88,25.8333
18.9,31.6667
18.92,32.5
18.94,39.1667
18.96,42.5
18.98,60
19,75
19.02,94.1667
19.04,125
19.06,141.667
19.08,160
19.1,184.167
19.12,182.5
19.14,187.5
19.16,180
19.18,168.333
19.2,154.167
19.22,126.667
19.24,100
19.26,73.3333
19.28,51.6667
19.3,44.1667
19.32,38.3333
19.34,40
19.36,50
19.38,63.3333
19.4,76.6667
19.42,85
19.44,86.6667
19.46,91.6667
19.48,99.1667
19.5,111.667
19.52,129.167
19.54,116.667
19.56,110
19.58,92.5
19.6,66.6667
19.62,44.1667
19.64,33.3333
19.66,29.1667
19.68,21.6667
19.7,18.3333
19.72,15
19.74,13.3333
19.76,10
19.78,8.33333
19.8,11.6667
19.82,11.6667
19.84,10.8333
19.86,10
19.88,10
19.9,8.33333
19.92,8.33333
19.94,9.16667
19.96,10
19.98,9.16667
20,8.33333
20.02,9.16667
20.04,11.6667
20.06,12.5
20.08,10
20.1,10
20.12,8.33333
20.14,6.66667
20.16,9.16667
20.18,10.8333
20.2,10
20.22,6.66667
20.24,8.33333
20.26,10
20.28,8.33333
20.3,9.16667
20.32,10.8333
20.34,15
20.36,18.3333
20.38,16.6667
20.4,19.1667
20.42,19.1667
20.44,20.8333
20.46,26.6667
20.48,25
20.5,24.1667
20.52,20.8333
20.54,17.5
20.56,18.3333
20.58,18.3333
20.6,14.1667
20.62,10
20.64,7.5
20.66,8.33333
20.68,10.8333
20.7,9.16667
20.72,7.5
20.74,8.33333
20.76,9.16667
20.78,10
20.8,8.33333
20.82,9.16667
20.84,6.66667
20.86,6.66667
20.88,9.16667
20.9,8.33333
20.92,6.66667
20.94,5.83333
20.96,6.66667
20.98,7.5
21,8.33333
21.02,6.66667
21.04,10.8333
21.06,10
21.08,8.33333
21.1,14.1667
21.12,12.5
21.14,10.8333
21.16,10.8333
21.18,9.16667
21.2,12.5
21.22,20
21.24,18.3333
21.26,18.3333
21.28,20.8333
21.3,22.5
21.32,34.1667
21.34,40
21.36,42.5
21.38,61.6667
21.4,88.3333
21.42,108.333
21.44,125
21.46,140
21.48,160.833
21.5,171.667
21.52,169.167
21.54,168.333
21.56,147.5
21.58,130.833
21.6,102.5
21.62,73.3333
21.64,56.6667
21.66,40
21.68,29.1667
21.7,19.1667
21.72,18.3333
21.74,17.5
21.76,17.5
21.78,15.8333
21.8,17.5
21.82,14.1667
21.84,9.16667
21.86,10
21.88,10.8333
21.9,7.5
21.92,7.5
21.94,8.33333
21.96,8.33333
21.98,8.33333
22,7.5
22.02,8.33333
22.04,8.33333
22.06,5.83333
22.08,7.5
22.1,10
22.12,14.1667
22.14,12.5
22.16,7.5
22.18,10.8333
22.2,10
22.22,10
22.24,6.66667
22.26,10.8333
22.28,11.6667
22.3,10.8333
22.32,9.16667
22.34,11.6667
22.36,6.66667
22.38,8.33333
22.4,11.6667
22.42,10.8333
22.44,10.8333
22.46,10
22.48,7.5
22.5,6.66667
22.52,8.33333
22.54,8.33333
22.56,9.16667
22.58,10.8333
22.6,10
22.62,7.5
22.64,9.16667
22.66,10
22.68,10.8333
22.7,7.5
22.72,7.5
22.74,4.16667
22.76,8.33333
22.78,10
22.8,7.5
22.82,5.83333
22.84,5.83333
22.86,5.83333
22.88,5.83333
22.9,6.66667
22.92,8.33333
22.94,4.16667
22.96,7.5
22.98,9.16667
23,9.16667
23.02,10
23.04,9.16667
23.06,6.66667
23.08,3.33333
23.1,4.16667
23.12,9.16667
23.14,10
23.16,4.16667
23.18,3.33333
23.2,6.66667
23.22,7.5
23.24,6.66667
23.26,3.33333
23.28,5
23.3,5.83333
23.32,5.83333
23.34,5
