2theta,Intensity
17.72,9.16667
17.74,8.33333
17.76,15
17.78,11.6667
17.8,13.3333
17.82,15
17.84,18.3333
17.86,10.8333
17.88,15
17.9,13.3333
17.92,10
17.94,8.33333
17.96,10.8333
17.98,6.66667
18,7.5
18.02,5.83333
18.04,4.16667
18.06,5
18.08,2.5
18.1,5.83333
18.12,8.33333
18.14,10.8333
18.16,5
18.18,4.16667
18.2,5.83333
18.22,5.83333
18.24,4.16667
18.26,4.16667
18.28,5
18.3,5
18.32,6.66667
18.34,3.33333
18.36,4.16667
18.38,4.16667
18.4,2.5
18.42,3.33333
18.44,4.16667
18.46,5.83333
18.48,5
18.5,5
18.52,5
18.54,5.83333
18.56,4.16667
18.58,5.83333
18.6,7.5
18.62,10.8333
18.64,6.66667
18.66,5.83333
18.68,5.83333
18.7,4.16667
18.72,8.33333
18.74,8.33333
18.76,7.5
18.78,8.33333
18.8,6.66667
18.82,9.16667
18.84,11.6667
18.86,10
18.88,13.3333
18.9,16.6667
18.92,18.3333
18.94,20
18.96,20.8333
18.98,30.8333
19,30.8333
19.02,30
19.04,28.3333
19.06,27.5
19.08,20
19.1,15
19.12,9.16667
19.14,10
19.16,9.16667
19.18,5
19.2,10.8333
19.22,13.3333
19.24,11.6667
19.26,11.6667
19.28,12.5
19.3,14.1667
19.32,15.8333
19.34,17.5
19.36,22.5
19.38,25
19.4,25.8333
19.42,22.5
19.44,15.8333
19.46,10
19.48,7.5
19.5,6.66667
19.52,7.5
19.54,7.5
19.56,7.5
19.58,7.5
19.6,5.83333
19.62,8.33333
19.64,9.16667
19.66,7.5
19.68,7.5
19.7,6.66667
19.72,5.83333
19.74,6.66667
19.76,8.33333
19.78,7.5
19.8,3.33333
19.82,7.5
19.84,8.33333
19.86,5.83333
19.88,4.16667
19.9,5
19.92,5
19.94,5
19.96,5.83333
19.98,5
20,5.83333
20.02,5
20.04,5
20.06,3.33333
20.08,3.33333
20.1,5.83333
20.12,5.83333
20.14,4.16667
20.16,4.16667
20.18,6.66667
20.2,5.83333
20.22,5.83333
20.24,5.83333
20.26,5.83333
20.28,7.5
20.3,9.16667
20.32,8.33333
20.34,6.66667
20.36,11.6667
20.38,10
20.4,7.5
20.42,8.33333
20.44,5.83333
20.46,7.5
20.48,7.5
20.5,5
20.52,6.66667
20.54,7.5
20.56,5
20.58,6.66667
20.6,5.83333
20.62,5.83333
20.64,8.33333
20.66,7.5
20.68,4.16667
20.7,2.5
20.72,4.16667
20.74,3.33333
20.76,3.33333
20.78,4.16667
20.8,5
20.82,5
20.84,8.33333
20.86,7.5
20.88,6.66667
20.9,6.66667
20.92,4.16667
20.94,4.16667
20.96,7.5
20.98,9.16667
21,5.83333
21.02,5
21.04,6.66667
21.06,5.83333
21.08,5.83333
21.1,6.66667
21.12,6.66667
21.14,8.33333
21.16,8.33333
21.18,7.5
21.2,11.6667
21.22,14.1667
21.24,15.8333
21.26,14.1667
21.28,15
21.3,17.5
21.32,17.5
21.34,25.8333
21.36,33.3333
21.38,26.6667
21.4,27.5
21.42,27.5
21.44,20
21.46,18.3333
21.48,15.8333
21.5,15
21.52,12.5
21.54,6.66667
21.56,5.83333
21.58,5.83333
21.6,9.16667
21.62,6.66667
21.64,3.33333
21.66,5.83333
21.68,5.83333
21.7,6.66667
21.72,9.16667
21.74,5.83333
21.76,3.33333
21.78,6.66667
21.8,7.5
21.82,5.83333
21.84,5.83333
21.86,7.5
21.88,5
21.9,5
21.92,4.16667
21.94,4.16667
21.96,5
21.98,5.83333
22,5
22.02,3.33333
22.04,4.16667
22.06,5.83333
22.08,6.66667
22.1,5.83333
22.12,4.16667
22.14,5
22.16,5
22.18,1.66667
22.2,5
22.22,9.16667
22.24,6.66667
22.26,5
22.28,6.66667
22.3,4.16667
22.32,3.33333
22.34,5
22.36,5
22.38,4.16667
22.4,4.16667
22.42,5.83333
22.44,5
22.46,3.33333
22.48,5.83333
22.5,5.83333
22.52,5
22.54,3.33333
22.56,1.66667
22.58,2.5
22.6,6.66667
22.62,5.83333
22.64,4.16667
22.66,5
22.68,7.5
22.7,8.33333
22.72,10
22.74,5.83333
22.76,5
22.78,5
22.8,6.66667
22.82,5.83333
22.84,4.16667
22.86,9.16667
22.88,5.83333
22.9,5
22.92,6.66667
22.94,7.5
22.96,6.66667
22.98,3.33333
23,4.16667
23.02,5
23.04,3.33333
23.06,4.16667
23.08,5.83333
23.1,5
23.12,3.33333
23.14,5.83333
23.16,5
23.18,5
23.2,7.5
23.22,7.5
23.24,7.5
23.26,7.5
23.28,5
23.3,5
23.32,3.33333
23.34,2.5
23.36,3.33333
23.38,4.16667
23.4,3.33333
23.42,3.33333
23.44,3.33333
23.46,6.66667
23.48,6.66667
23.5,2.5
23.52,2.5
23.54,5
23.56,5.83333
23.58,3.33333
23.6,5
23.62,6.66667
23.64,3.33333
23.66,3.33333
23.68,5
23.7,3.33333
23.72,4.16667
23.74,5.83333
23.76,5.83333
23.78,5.83333
23.8,4.16667
23.82,5.83333
23.84,5.83333
23.86,4.16667
23.88,4.16667
23.9,4.16667
23.92,9.16667
23.94,6.66667
23.96,6.66667
23.98,5
24,5
24.02,8.33333
24.04,5.83333
24.06,7.5
24.08,4.16667
24.1,6.66667
24.12,5.83333
24.14,6.66667
24.16,3.33333
24.18,4.16667
24.2,5.83333
24.22,5.83333
24.24,5
24.26,7.5
24.28,5.83333
24.3,5
24.32,8.33333
24.34,9.16667
24.36,8.33333
24.38,8.33333
24.4,10
24.42,11.6667
24.44,21.6667
24.46,21.6667
24.48,21.6667
24.5,17.5
24.52,32.5
24.54,40
24.56,42.5
24.58,52.5
24.6,50.8333
24.62,54.1667
24.64,61.6667
24.66,51.6667
24.68,43.3333
24.7,26.6667
24.72,19.1667
24.74,17.5
24.76,17.5
24.78,11.6667
24.8,12.5
24.82,10
24.84,10.8333
24.86,5.83333
24.88,5
24.9,6.66667
24.92,5
24.94,6.66667
24.96,6.66667
24.98,6.66667
25,8.33333
25.02,5.83333
25.04,8.33333
25.06,6.66667
25.08,10.8333
25.1,11.6667
25.12,7.5
25.14,5
25.16,3.33333
25.18,3.33333
25.2,2.5
25.22,4.16667
25.24,5
25.26,7.5
25.28,4.16667
25.3,4.16667
25.32,5.83333
25.34,6.66667
25.36,4.16667
25.38,5.83333
25.4,7.5
25.42,4.16667
25.44,5.83333
25.46,7.5
25.48,5
25.5,4.16667
25.52,6.66667
25.54,5.83333
25.56,3.33333
25.58,6.66667
25.6,4.16667
25.62,2.5
25.64,5
25.66,6.66667
25.68,9.16667
25.7,9.16667
25.72,11.6667
25.74,7.5
25.76,10
25.78,6.66667
25.8,6.66667
25.82,9.16667
25.84,8.33333
25.86,9.16667
25.88,5.83333
25.9,6.66667
25.92,7.5
25.94,3.33333
25.96,6.66667
25.98,6.66667
26,7.5
26.02,7.5
26.04,8.33333
26.06,8.33333
26.08,9.16667
26.1,5.83333
26.12,8.33333
26.14,4.16667
26.16,9.16667
26.18,5
26.2,10
26.22,6.66667
26.24,11.6667
26.26,9.16667
26.28,8.33333
26.3,11.6667
26.32,11.6667
26.34,19.1667
26.36,21.6667
26.38,19.1667
26.4,33.3333
26.42,34.1667
26.44,39.1667
26.46,60
26.48,51.6667
26.5,57.5
26.52,63.3333
26.54,42.5
26.56,37.5
26.58,26.6667
26.6,20.8333
26.62,21.6667
26.64,11.6667
26.66,10.8333
26.68,10
26.7,3.33333
26.72,8.33333
26.74,5
26.76,10
26.78,5
26.8,5
26.82,10
26.84,4.16667
26.86,3.33333
26.88,5
26.9,1.66667
26.92,5.83333
26.94,7.5
26.96,8.33333
26.98,4.16667
27,10.8333
27.02,7.5
27.04,10
27.06,5.83333
27.08,7.5
27.1,4.16667
27.12,8.33333
27.14,6.66667
27.16,9.16667
27.18,6.66667
27.2,6.66667
27.22,6.66667
27.24,5.83333
27.26,11.6667
27.28,15
