2theta,Intensity
17.7,32.5
17.72,50
17.74,54.1667
17.76,54.1667
17.78,67.5
17.8,79.1667
17.82,75.8333
17.84,83.3333
17.86,95
17.88,95
17.9,95
17.92,72.5
17.94,57.5
17.96,43.3333
17.98,31.6667
18,25
18.02,17.5
18.04,15.8333
18.06,17.5
18.08,17.5
18.1,13.3333
18.12,12.5
18.14,15.8333
18.16,13.3333
18.18,15.8333
18.2,21.6667
18.22,15
18.24,14.1667
18.26,15.8333
18.28,12.5
18.3,13.3333
18.32,13.3333
18.34,11.6667
18.36,9.16667
18.38,9.16667
18.4,12.5
18.42,10.8333
18.44,15
18.46,15
18.48,18.3333
18.5,13.3333
18.52,12.5
18.54,14.1667
18.56,10.8333
18.58,13.3333
18.6,15.8333
18.62,14.1667
18.64,11.6667
18.66,15.8333
18.68,15.8333
18.7,21.6667
18.72,19.1667
18.74,16.6667
18.76,21.6667
18.78,23.3333
18.8,30
18.82,35
18.84,50
18.86,62.5
18.88,64.1667
18.9,78.3333
18.92,92.5
18.94,121.667
18.96,134.167
18.98,172.5
19,208.333
19.02,220.833
19.04,240
19.06,239.167
19.08,211.667
19.1,186.667
19.12,156.667
19.14,108.333
19.16,73.3333
19.18,59.1667
19.2,50
19.22,42.5
19.24,48.3333
19.26,51.6667
19.28,58.3333
19.3,71.6667
19.32,81.6667
19.34,103.333
19.36,114.167
19.38,125.833
19.4,130.833
19.42,127.5
19.44,139.167
19.46,145
19.48,108.333
19.5,79.1667
19.52,65
19.54,44.1667
19.56,24.1667
19.58,23.3333
19.6,26.6667
19.62,22.5
19.64,22.5
19.66,17.5
19.68,12.5
19.7,13.3333
19.72,15
19.74,13.3333
19.76,14.1667
19.78,17.5
19.8,19.1667
19.82,20
19.84,15.8333
19.86,12.5
19.88,12.5
19.9,11.6667
19.92,10.8333
19.94,11.6667
19.96,14.1667
19.98,15
20,14.1667
20.02,15
20.04,13.3333
20.06,13.3333
20.08,11.6667
20.1,11.6667
20.12,9.16667
20.14,6.66667
20.16,11.6667
20.18,15
20.2,15.8333
20.22,18.3333
20.24,17.5
20.26,19.1667
20.28,25.8333
20.3,28.3333
20.32,30.8333
20.34,30
20.36,30.8333
20.38,34.1667
20.4,35.8333
20.42,35.8333
20.44,29.1667
20.46,21.6667
20.48,15.8333
20.5,11.6667
20.52,12.5
20.54,15
20.56,14.1667
20.58,13.3333
20.6,10.8333
20.62,10
20.64,7.5
20.66,7.5
20.68,10
20.7,12.5
20.72,9.16667
20.74,5.83333
20.76,7.5
20.78,6.66667
20.8,5.83333
20.82,10
20.84,13.3333
20.86,9.16667
20.88,7.5
20.9,10
20.92,9.16667
20.94,10.8333
20.96,12.5
20.98,11.6667
21,15
21.02,16.6667
21.04,15.8333
21.06,15
21.08,16.6667
21.1,18.3333
21.12,20.8333
21.14,22.5
21.16,22.5
21.18,27.5
21.2,32.5
21.22,38.3333
21.24,48.3333
21.26,57.5
21.28,67.5
21.3,88.3333
21.32,115.833
21.34,131.667
21.36,150
21.38,172.5
21.4,192.5
21.42,205
21.44,202.5
21.46,181.667
21.48,157.5
21.5,116.667
21.52,85
21.54,61.6667
21.56,35
21.58,33.3333
21.6,25.8333
21.62,23.3333
21.64,21.6667
21.66,15.8333
21.68,15.8333
21.7,18.3333
21.72,18.3333
21.74,15.8333
21.76,13.3333
21.78,15.8333
21.8,13.3333
21.82,10.8333
21.84,12.5
21.86,14.1667
21.88,12.5
21.9,12.5
21.92,10
21.94,9.16667
21.96,10.8333
21.98,9.16667
22,10.8333
22.02,10.8333
22.04,7.5
22.06,9.16667
22.08,11.6667
22.1,15.8333
22.12,15
22.14,10.8333
22.16,10
22.18,15.8333
22.2,15
22.22,12.5
22.24,11.6667
22.26,9.16667
22.28,9.16667
22.3,9.16667
22.32,7.5
22.34,7.5
22.36,10
22.38,10
22.4,10.8333
22.42,10.8333
22.44,7.5
22.46,10.8333
22.48,10
22.5,6.66667
22.52,8.33333
22.54,10.8333
22.56,9.16667
22.58,8.33333
22.6,10
22.62,12.5
22.64,9.16667
22.66,10
22.68,13.3333
22.7,10
22.72,10
22.74,10.8333
22.76,7.5
22.78,9.16667
22.8,6.66667
22.82,5.83333
22.84,5
22.86,8.33333
22.88,12.5
22.9,11.6667
22.92,9.16667
22.94,7.5
22.96,7.5
22.98,7.5
23,5.83333
23.02,6.66667
23.04,7.5
23.06,8.33333
23.08,10
23.1,9.16667
23.12,10
23.14,11.6667
23.16,10.8333
23.18,9.16667
23.2,7.5
23.22,7.5
23.24,7.5
23.26,8.33333
23.28,6.66667
23.3,6.66667
23.32,7.5
23.34,5.83333
23.36,7.5
23.38,5
23.4,7.5
23.42,12.5
23.44,11.6667
23.46,9.16667
23.48,9.16667
23.5,7.5
23.52,5
23.54,5.83333
23.56,6.66667
23.58,10
23.6,11.6667
23.62,12.5
23.64,8.33333
23.66,7.5
23.68,7.5
23.7,7.5
23.72,4.16667
23.74,10.8333
23.76,7.5
23.78,5.83333
23.8,9.16667
23.82,7.5
23.84,6.66667
23.86,9.16667
23.88,11.6667
23.9,7.5
23.92,10
23.94,5
23.96,7.5
23.98,8.33333
24,12.5
24.02,10
24.04,7.5
24.06,7.5
24.08,13.3333
24.1,15
24.12,13.3333
24.14,10.8333
24.16,12.5
24.18,10
24.2,15
24.22,11.6667
24.24,17.5
24.26,24.1667
24.28,20.8333
24.3,18.3333
24.32,19.1667
24.34,18.3333
24.36,20.8333
24.38,25.8333
24.4,35.8333
24.42,35
24.44,43.3333
24.46,51.6667
24.48,70.8333
24.5,84.1667
24.52,117.5
24.54,135.833
24.56,174.167
24.58,216.667
24.6,250
24.62,301.667
24.64,372.5
24.66,396.667
24.68,380.833
24.7,339.167
24.72,285
24.74,209.167
24.76,183.333
24.78,120
24.8,80.8333
24.82,60.8333
24.84,41.6667
24.86,40
24.88,35.8333
24.9,30.8333
24.92,28.3333
24.94,29.1667
24.96,29.1667
24.98,22.5
25,20
25.02,16.6667
25.04,18.3333
25.06,19.1667
25.08,15.8333
25.1,13.3333
25.12,14.1667
25.14,18.3333
25.16,12.5
25.18,17.5
25.2,10.8333
25.22,12.5
25.24,15.8333
25.26,12.5
25.28,12.5
25.3,13.3333
25.32,11.6667
25.34,15.8333
25.36,10.8333
25.38,16.6667
25.4,10
25.42,13.3333
25.44,18.3333
25.46,12.5
25.48,10.8333
25.5,13.3333
25.52,14.1667
25.54,17.5
25.56,15.8333
25.58,16.6667
25.6,5
25.62,18.3333
25.64,15
25.66,17.5
25.68,16.6667
25.7,16.6667
25.72,21.6667
25.74,25
25.76,28.3333
25.78,32.5
25.8,38.3333
25.82,35.8333
25.84,46.6667
25.86,46.6667
25.88,29.1667
25.9,25
25.92,31.6667
25.94,17.5
25.96,16.6667
25.98,20
26,10.8333
26.02,11.6667
26.04,15
26.06,20.8333
26.08,25.8333
26.1,19.1667
26.12,15.8333
26.14,20
26.16,20
26.18,19.1667
26.2,20
26.22,19.1667
26.24,21.6667
26.26,23.3333
26.28,26.6667
26.3,35.8333
26.32,39.1667
26.34,58.3333
26.36,72.5
26.38,81.6667
26.4,115.833
26.42,149.167
