2theta,Intensity
17.72,49.1667
17.74,54.1667
17.76,61.6667
17.78,75.8333
17.8,83.3333
17.82,105
17.84,106.667
17.86,123.333
17.88,130.833
17.9,122.5
17.92,108.333
17.94,104.167
17.96,85.8333
17.98,51.6667
18,40.8333
18.02,30.8333
18.04,23.3333
18.06,20
18.08,22.5
18.1,19.1667
18.12,21.6667
18.14,14.1667
18.16,20
18.18,17.5
18.2,22.5
18.22,19.1667
18.24,12.5
18.26,15
18.28,17.5
18.3,16.6667
18.32,14.1667
18.34,15.8333
18.36,15
18.38,11.6667
18.4,13.3333
18.42,18.3333
18.44,18.3333
18.46,15.8333
18.48,15
18.5,17.5
18.52,15.8333
18.54,13.3333
18.56,19.1667
18.58,15.8333
18.6,16.6667
18.62,12.5
18.64,16.6667
18.66,17.5
18.68,17.5
18.7,20.8333
18.72,20.8333
18.74,19.1667
18.76,21.6667
18.78,24.1667
18.8,34.1667
18.82,42.5
18.84,40
18.86,42.5
18.88,55
18.9,75.8333
18.92,95.8333
18.94,121.667
18.96,138.333
18.98,181.667
19,210
19.02,250.833
19.04,284.167
19.06,297.5
19.08,306.667
19.1,275
19.12,233.333
19.14,176.667
19.16,141.667
19.18,108.333
19.2,69.1667
19.22,58.3333
19.24,57.5
19.26,60.8333
19.28,73.3333
19.3,90.8333
19.32,97.5
19.34,92.5
19.36,110
19.38,131.667
19.4,152.5
19.42,163.333
19.44,182.5
19.46,165
19.48,155.833
19.5,138.333
19.52,104.167
19.54,85.8333
19.56,68.3333
19.58,46.6667
19.6,33.3333
19.62,30
19.64,25
19.66,20.8333
19.68,18.3333
19.7,19.1667
19.72,16.6667
19.74,20
19.76,28.3333
19.78,22.5
19.8,15
19.82,16.6667
19.84,17.5
19.86,15.8333
19.88,12.5
19.9,16.6667
19.92,15
19.94,14.1667
19.96,19.1667
19.98,16.6667
20,15
20.02,15.8333
20.04,21.6667
20.06,19.1667
20.08,15
20.1,15
20.12,13.3333
20.14,11.6667
20.16,12.5
20.18,15.8333
20.2,20.8333
20.22,20.8333
20.24,22.5
20.26,28.3333
20.28,32.5
20.3,28.3333
20.32,29.1667
20.34,30.8333
20.36,30.8333
20.38,36.6667
20.4,41.6667
20.42,40
20.44,40
20.46,35
20.48,27.5
20.5,23.3333
20.52,18.3333
20.54,14.1667
20.56,11.6667
20.58,12.5
20.6,11.6667
20.62,10.8333
20.64,11.6667
20.66,10.8333
20.68,9.16667
20.7,10
20.72,13.3333
20.74,10
20.76,10.8333
20.78,12.5
20.8,9.16667
20.82,8.33333
20.84,10
20.86,12.5
20.88,13.3333
20.9,16.6667
20.92,15
20.94,12.5
20.96,13.3333
20.98,13.3333
21,13.3333
21.02,10.8333
21.04,11.6667
21.06,18.3333
21.08,20
21.1,20
21.12,22.5
21.14,21.6667
21.16,26.6667
21.18,25
21.2,23.3333
21.22,36.6667
21.24,49.1667
21.26,57.5
21.28,77.5
21.3,97.5
21.32,105
21.34,130
21.36,155.833
21.38,180
21.4,210
21.42,235
21.44,243.333
21.46,227.5
21.48,218.333
21.5,194.167
21.52,141.667
21.54,91.6667
21.56,70.8333
21.58,56.6667
21.6,40
21.62,28.3333
21.64,24.1667
21.66,26.6667
21.68,25.8333
21.7,25
21.72,25
21.74,19.1667
21.76,17.5
21.78,17.5
21.8,17.5
21.82,15.8333
21.84,19.1667
21.86,15
21.88,11.6667
21.9,11.6667
21.92,12.5
21.94,14.1667
21.96,13.3333
21.98,8.33333
22,10.8333
22.02,8.33333
22.04,6.66667
22.06,11.6667
22.08,15.8333
22.1,13.3333
22.12,12.5
22.14,13.3333
22.16,13.3333
22.18,13.3333
22.2,15
22.22,10.8333
22.24,7.5
22.26,9.16667
22.28,10
22.3,10
22.32,10.8333
22.34,10.8333
22.36,11.6667
22.38,13.3333
22.4,10
22.42,9.16667
22.44,11.6667
22.46,11.6667
22.48,15.8333
22.5,14.1667
22.52,9.16667
22.54,6.66667
22.56,10.8333
22.58,12.5
22.6,9.16667
22.62,10.8333
22.64,8.33333
22.66,7.5
22.68,8.33333
22.7,9.16667
22.72,11.6667
22.74,12.5
22.76,6.66667
22.78,7.5
22.8,10
22.82,10
22.84,9.16667
22.86,10
22.88,7.5
22.9,8.33333
22.92,5.83333
22.94,13.3333
22.96,10
22.98,5
23,7.5
23.02,9.16667
23.04,9.16667
23.06,8.33333
23.08,7.5
23.1,8.33333
23.12,10
23.14,11.6667
23.16,10.8333
23.18,11.6667
23.2,8.33333
23.22,8.33333
23.24,6.66667
23.26,8.33333
23.28,13.3333
23.3,11.6667
23.32,10.8333
23.34,10.8333
23.36,11.6667
23.38,10.8333
23.4,6.66667
23.42,4.16667
23.44,5
23.46,7.5
23.48,9.16667
23.5,14.1667
23.52,7.5
23.54,9.16667
23.56,12.5
23.58,10.8333
23.6,11.6667
23.62,9.16667
23.64,15
23.66,10
23.68,10
23.7,6.66667
23.72,9.16667
23.74,11.6667
23.76,9.16667
23.78,5.83333
23.8,6.66667
23.82,9.16667
23.84,12.5
23.86,12.5
23.88,14.1667
23.9,6.66667
23.92,6.66667
23.94,7.5
23.96,10
23.98,8.33333
24,10.8333
24.02,15.8333
24.04,15
24.06,10.8333
24.08,13.3333
24.1,11.6667
24.12,11.6667
24.14,12.5
24.16,10
24.18,12.5
24.2,15
24.22,12.5
24.24,12.5
24.26,15.8333
24.28,20
24.3,18.3333
24.32,24.1667
24.34,19.1667
24.36,21.6667
24.38,16.6667
24.4,30.8333
24.42,33.3333
24.44,37.5
24.46,50
24.48,57.5
24.5,67.5
24.52,83.3333
24.54,117.5
24.56,138.333
24.58,186.667
24.6,234.167
24.62,275
24.64,337.5
24.66,380.833
24.68,402.5
24.7,418.333
24.72,365.833
24.74,292.5
24.76,236.667
24.78,184.167
24.8,145
24.82,94.1667
24.84,60
24.86,41.6667
24.88,40.8333
24.9,45.8333
24.92,35
24.94,24.1667
24.96,22.5
24.98,27.5
25,26.6667
25.02,17.5
25.04,14.1667
25.06,24.1667
25.08,14.1667
25.1,14.1667
25.12,17.5
25.14,17.5
25.16,21.6667
25.18,14.1667
25.2,11.6667
25.22,14.1667
25.24,10
25.26,13.3333
25.28,15
25.3,16.6667
25.32,10
25.34,10
25.36,14.1667
25.38,14.1667
25.4,7.5
25.42,14.1667
25.44,10
25.46,13.3333
25.48,10
25.5,10.8333
25.52,10.8333
25.54,13.3333
25.56,5.83333
25.58,12.5
25.6,17.5
25.62,15
25.64,9.16667
25.66,15.8333
25.68,15
25.7,15
25.72,18.3333
25.74,23.3333
25.76,34.1667
25.78,30
25.8,36.6667
25.82,36.6667
25.84,50.8333
25.86,46.6667
25.88,42.5
25.9,42.5
25.92,38.3333
25.94,31.6667
25.96,20.8333
25.98,16.6667
26,15
26.02,18.3333
26.04,9.16667
26.06,13.3333
26.08,17.5
26.1,14.1667
26.12,13.3333
26.14,11.6667
26.16,16.6667
26.18,20.8333
26.2,18.3333
26.22,14.1667
26.24,10.8333
26.26,11.6667
26.28,19.1667
26.3,14.1667
26.32,21.6667
26.34,22.5
26.36,30
26.38,25.8333
26.4,37.5
26.42,30
26.44,45.8333
26.46,50.8333
26.48,55
26.5,64.1667
26.52,94.1667
26.54,92.5
26.56,125.833
26.58,111.667
26.6,127.5
26.62,118.333
26.64,129.167
26.66,95
26.68,66.6667
26.7,45
26.72,43.3333
26.74,34.1667
26.76,24.1667
26.78,22.5
26.8,20.8333
26.82,16.6667
26.84,18.3333
26.86,15.8333
26.88,15.8333
26.9,20
26.92,14.1667
26.94,19.1667
26.96,17.5
26.98,11.6667
27,7.5
27.02,14.1667
27.04,14.1667
27.06,22.5
27.08,11.6667
27.1,10
27.12,10
27.14,13.3333
27.16,10.8333
27.18,18.3333
27.2,14.1667
27.22,17.5
27.24,25
27.26,15.8333
27.28,18.3333
27.3,20.8333
27.32,45
27.34,40.8333
27.36,74.1667
27.38,66.6667
27.4,63.3333
27.42,80.8333
27.44,80.8333
27.46,56.6667
27.48,60
27.5,40.8333
27.52,34.1667
27.54,28.3333
27.56,25.8333
27.58,23.3333
27.6,15.8333
27.62,10
27.64,10
27.66,22.5
27.68,20.8333
27.7,15.8333
27.72,7.5
27.74,11.6667
27.76,10.8333
27.78,15.8333
27.8,11.6667
27.82,10
27.84,9.16667
27.86,8.33333
27.88,10.8333
27.9,9.16667
27.92,6.66667
27.94,10.8333
27.96,15
27.98,5.83333
28,13.3333
28.02,10.8333
28.04,15
