formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Na2SrCa,mp-1097085,0.37229999999999985,-2.21388166,0.954622665057471,"{11: 2, 38: 1, 20: 1}","[11, 20, 38]",112201381,Na2Sr1Ca1
Na2SrFe,mp-631880,0.0,1.63337742,0.6664503993103446,"{11: 2, 38: 1, 26: 1}","[11, 26, 38]",112261381,Na2Sr1Fe1
Na2Sr3As4,mp-1221310,0.5438999999999998,2.80498865,0.0,"{11: 2, 38: 3, 33: 4}","[11, 33, 38]",112334383,Na2Sr3As4
Sr7(H6Br)2,mp-23828,3.7026000000000003,0.46862854,0.0,"{38: 7, 1: 12, 35: 2}","[1, 35, 38]",112352387,Sr7H12Br2
Na2SrSn4,mp-1104604,0.0,4.54661756,0.0,"{11: 2, 38: 1, 50: 4}","[11, 38, 50]",112381504,Na2Sr1Sn4
BaNa2Sr,mp-1097658,0.2492000000000003,-2.03818162,0.9821832956968394,"{56: 1, 11: 2, 38: 1}","[11, 38, 56]",112381561,Ba1Na2Sr1
Sr(BH)12,mp-1200414,5.893599999999999,3.75991497,0.0,"{38: 1, 5: 12, 1: 12}","[1, 5, 38]",112512381,Sr1B12H12
SrB12(H3O2)4,mp-1201030,0.1757,0.13211971,0.4375028276340114,"{38: 1, 5: 12, 1: 12, 8: 8}","[1, 5, 8, 38]",11251288381,Sr1B12H12O8
KSr(BH4)3,mp-1195216,5.7155000000000005,2.4802438,0.0,"{19: 1, 38: 1, 5: 3, 1: 12}","[1, 5, 19, 38]",11253191381,K1Sr1B3H12
RbSr(BH4)3,mp-1194771,5.242800000000001,2.08511861,0.0,"{37: 1, 38: 1, 5: 3, 1: 12}","[1, 5, 37, 38]",11253371381,Rb1Sr1B3H12
CsSr(BH4)3,mp-1195599,5.3107,2.60162449,0.0,"{55: 1, 38: 1, 5: 3, 1: 12}","[1, 5, 38, 55]",11253381551,Cs1Sr1B3H12
SrH12C4S4(NO4)2,mp-559027,5.7077,-0.67841022,0.30507419799539726,"{38: 1, 1: 12, 6: 4, 16: 4, 7: 2, 8: 8}","[1, 6, 7, 8, 16, 38]",112647288164381,Sr1H12C4S4N2O8
Sr3Al2(HO)12,mp-24126,3.8992999999999998,0.41709584,0.0025293062930993315,"{38: 3, 13: 2, 1: 12, 8: 12}","[1, 8, 13, 38]",112812132383,Sr3Al2H12O12
Sr3Fe2(HO)12,mp-744565,0.0,-1.03339186,1.12414433422415,"{38: 3, 26: 2, 1: 12, 8: 12}","[1, 8, 26, 38]",112812262383,Sr3Fe2H12O12
SrH12(ClO3)2,mp-23885,5.0515,-1.84875031,0.01846242738094972,"{38: 1, 1: 12, 17: 2, 8: 6}","[1, 8, 17, 38]",11286172381,Sr1H12Cl2O6
SrGaGeH,mp-978847,0.29579999999999984,3.73690702,0.0,"{38: 1, 31: 1, 32: 1, 1: 1}","[1, 31, 32, 38]",11311321381,Sr1Ga1Ge1H1
SrGaSnH,mp-978852,0.4150999999999998,4.20085945,0.0,"{38: 1, 31: 1, 50: 1, 1: 1}","[1, 31, 38, 50]",11311381501,Sr1Ga1Sn1H1
Na3Sr3AlP4,mp-41095,1.1233,2.7109822,0.0,"{11: 3, 38: 3, 13: 1, 15: 4}","[11, 13, 15, 38]",113131154383,Na3Sr3Al1P4
Sr3LiAs2H,mp-1192357,1.4556,2.26704998,0.0,"{38: 3, 3: 1, 33: 2, 1: 1}","[1, 3, 33, 38]",1131332383,Sr3Li1As2H1
Na3Sr3GaP4,mp-10096,0.7466999999999997,2.53242617,0.0,"{11: 3, 38: 3, 31: 1, 15: 4}","[11, 15, 31, 38]",113154311383,Na3Sr3Ga1P4
Na3Sr3GaAs4,mp-10097,0.4377,2.3094313,0.0,"{11: 3, 38: 3, 31: 1, 33: 4}","[11, 31, 33, 38]",113311334383,Na3Sr3Ga1As4
Na3Sr3GaSb4,mp-1210275,0.3066,3.33814065,0.0,"{11: 3, 38: 3, 31: 1, 51: 4}","[11, 31, 38, 51]",113311383514,Na3Sr3Ga1Sb4
Sr5As3H,mp-24338,0.6763999999999997,3.27276349,0.0,"{38: 5, 33: 3, 1: 1}","[1, 33, 38]",11333385,Sr5As3H1
SrHBr,mp-24423,3.8297000000000003,0.82899039,0.0,"{38: 1, 1: 1, 35: 1}","[1, 35, 38]",11351381,Sr1H1Br1
