formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
MgTaIr2,mp-866075,0.0,7.82242515,0.0,False,"{12: 1, 73: 1, 77: 2}","[12, 73, 77]",121731772,Mg1Ta1Ir2
Ce2Mg17Ru4,mp-1191224,0.0,4.31545351,0.0,icsd-424260,"{58: 2, 12: 17, 44: 4}","[12, 44, 58]",1217444582,Ce2Mg17Ru4
Ba2Mg17,mp-1813,0.0,2.77710655,0.0,icsd-615953,"{56: 2, 12: 17}","[12, 56]",1217562,Ba2Mg17
MgIr,mp-683946,0.0,6.41505456,0.0,icsd-59952,"{12: 1, 77: 1}","[12, 77]",121771,Mg1Ir1
MgIr2,mp-11883,0.0,7.05983467,0.0,icsd-414084,"{12: 1, 77: 2}","[12, 77]",121772,Mg1Ir2
MgPt,mp-12651,0.0,5.61031108,0.0,icsd-642775,"{12: 1, 78: 1}","[12, 78]",121781,Mg1Pt1
MgPaPt2,mp-1185914,0.0,8.21924503,0.0,False,"{12: 1, 91: 1, 78: 2}","[12, 78, 91]",121782911,Mg1Pa1Pt2
MgPt3,mp-30777,0.0,6.89272305,0.0,False,"{12: 1, 78: 3}","[12, 78]",121783,Mg1Pt3
MgPt7,mp-1206346,0.0,7.0318324,0.0,pf-26865,"{12: 1, 78: 7}","[12, 78]",121787,Mg1Pt7
MgAu,mp-437,0.0,5.66318416,0.0,icsd-612143,"{12: 1, 79: 1}","[12, 79]",121791,Mg1Au1
ThMgAu2,mp-1187438,0.0,5.81220516,0.0,False,"{90: 1, 12: 1, 79: 2}","[12, 79, 90]",121792901,Th1Mg1Au2
MgPaAu2,mp-1185917,0.0,7.12600293,0.0,False,"{12: 1, 91: 1, 79: 2}","[12, 79, 91]",121792911,Mg1Pa1Au2
MgAu3,mp-570017,0.0,4.84307852,0.0,False,"{12: 1, 79: 3}","[12, 79]",121793,Mg1Au3
MgHg,mp-1408,0.0,4.77225917,0.0,icsd-104314,"{12: 1, 80: 1}","[12, 80]",121801,Mg1Hg1
AcMgHg2,mp-866225,0.0,4.51694591,0.0,False,"{89: 1, 12: 1, 80: 2}","[12, 80, 89]",121802891,Ac1Mg1Hg2
ThMgHg2,mp-1187426,0.0,5.06764414,0.0,False,"{90: 1, 12: 1, 80: 2}","[12, 80, 90]",121802901,Th1Mg1Hg2
MgTl,mp-11498,0.0,5.46204775,0.0,icsd-104884,"{12: 1, 81: 1}","[12, 81]",121811,Mg1Tl1
Ac2MgTl,mp-1183079,0.22000000000000064,5.86030696,0.0,False,"{89: 2, 12: 1, 81: 1}","[12, 81, 89]",121811892,Ac2Mg1Tl1
