formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
CsNa2Si17,mp-4877,0.0,6.2796714,0.023023519657634495,"{55: 1, 11: 2, 14: 17}","[11, 14, 55]",1121417551,Cs1Na2Si17
Na2Si2S5,mp-18104,3.5318,1.45906198,0.0,"{11: 2, 14: 2, 16: 5}","[11, 14, 16]",112142165,Na2Si2S5
Na2Si2Se5,mp-18562,2.4355,1.10121777,0.0,"{11: 2, 14: 2, 34: 5}","[11, 14, 34]",112142345,Na2Si2Se5
SiH12C2(NF3)2,mp-556298,6.8492,-3.16392896,0.031338452717321275,"{14: 1, 1: 12, 6: 2, 7: 2, 9: 6}","[1, 6, 7, 9, 14]",112627296141,Si1H12C2N2F6
SiH12C2(NF)6,mp-697253,5.1979,-1.16257277,0.0,"{14: 1, 1: 12, 6: 2, 7: 6, 9: 6}","[1, 6, 7, 9, 14]",112627696141,Si1H12C2N6F6
Si(H3C)4,mp-1204470,5.414,1.51292527,0.02428146930805042,"{14: 1, 1: 12, 6: 4}","[1, 6, 14]",11264141,Si1H12C4
SiH12C4(N5F3)2,mp-1203262,4.1659,0.72226072,0.04239544530290296,"{14: 1, 1: 12, 6: 4, 7: 10, 9: 6}","[1, 6, 7, 9, 14]",1126471096141,Si1H12C4N10F6
SiH12(CO)4,mp-1199165,4.7372,2.95272156,0.3641928224603186,"{14: 1, 1: 12, 6: 4, 8: 4}","[1, 6, 8, 14]",1126484141,Si1H12C4O4
SiH12C6(NO2)4,mp-1194648,3.5551000000000004,0.9977695,0.5405748872042961,"{14: 1, 1: 12, 6: 6, 7: 4, 8: 8}","[1, 6, 7, 8, 14]",112667488141,Si1H12C6N4O8
SiH12C8(NO2)8,mp-1195524,3.6496,-1.98198746,0.5510537176913584,"{14: 1, 1: 12, 6: 8, 7: 8, 8: 16}","[1, 6, 7, 8, 14]",1126878816141,Si1H12C8N8O16
