formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
AlH6C2SeCl3,mp-1200831,4.6429,-1.74818387,0.0,"{13: 1, 1: 6, 6: 2, 34: 1, 17: 3}","[1, 6, 13, 17, 34]",1662131173341,Al1H6C2Se1Cl3
TaH6C2SeCl5,mp-1192701,2.2733,-1.23528985,0.0,"{73: 1, 1: 6, 6: 2, 34: 1, 17: 5}","[1, 6, 17, 34, 73]",1662175341731,Ta1H6C2Se1Cl5
GaH6C2SeI3,mp-1201119,2.6612,-0.44034465,0.0,"{31: 1, 1: 6, 6: 2, 34: 1, 53: 3}","[1, 6, 31, 34, 53]",1662311341533,Ga1H6C2Se1I3
SrAl2H6C2O11,mp-1208735,5.103899999999999,0.95506092,0.0,"{38: 1, 13: 2, 1: 6, 6: 2, 8: 11}","[1, 6, 8, 13, 38]",1662811132381,Sr1Al2H6C2O11
PuP2H6(CO3)2,mp-1204667,0.38249999999999984,1.73882602,0.0,"{94: 1, 15: 2, 1: 6, 6: 2, 8: 6}","[1, 6, 8, 15, 94]",166286152941,Pu1P2H6C2O6
K4H6C2O9,mp-542043,3.8796,-0.25809288,0.0,"{19: 4, 1: 6, 6: 2, 8: 9}","[1, 6, 8, 19]",166289194,K4H6C2O9
Rb4H6C2O9,mp-542063,3.9848,-0.20150889,0.0,"{37: 4, 1: 6, 6: 2, 8: 9}","[1, 6, 8, 37]",166289374,Rb4H6C2O9
PrH6(CO3)3,mp-1209824,3.4398,2.38462082,0.0,"{59: 1, 1: 6, 6: 3, 8: 9}","[1, 6, 8, 59]",166389591,Pr1H6C3O9
AlH7C2SCl4,mp-1198123,4.6652000000000005,-1.96336114,0.0,"{13: 1, 1: 7, 6: 2, 16: 1, 17: 4}","[1, 6, 13, 16, 17]",1762131161174,Al1H7C2S1Cl4
AlPH8(CCl2)2,mp-569751,5.4006,-1.89658914,0.0,"{13: 1, 15: 1, 1: 8, 6: 2, 17: 4}","[1, 6, 13, 15, 17]",1862131151174,Al1P1H8C2Cl4
K2MgH8(CO5)2,mp-757963,4.5358,-0.39302479,0.0,"{19: 2, 12: 1, 1: 8, 6: 2, 8: 10}","[1, 6, 8, 12, 19]",1862810121192,K2Mg1H8C2O10
Rb2MgH8(CO5)2,mp-24606,4.3182,-0.50042627,0.0,"{37: 2, 12: 1, 1: 8, 6: 2, 8: 10}","[1, 6, 8, 12, 37]",1862810121372,Rb2Mg1H8C2O10
Cs2MgH8(CO5)2,mp-733936,4.4403999999999995,-0.09300056,0.0,"{55: 2, 12: 1, 1: 8, 6: 2, 8: 10}","[1, 6, 8, 12, 55]",1862810121552,Cs2Mg1H8C2O10
K2NiH8(CO5)2,mp-24573,4.3339,-0.13541191,0.0,"{19: 2, 28: 1, 1: 8, 6: 2, 8: 10}","[1, 6, 8, 19, 28]",1862810192281,K2Ni1H8C2O10
NaCa2Al4H8C4ClO20,mp-698491,5.1711,0.85124299,0.0,"{11: 1, 20: 2, 13: 4, 1: 8, 6: 4, 17: 1, 8: 20}","[1, 6, 8, 11, 13, 17, 20]",1864820111134171202,Na1Ca2Al4H8C4Cl1O20
AlPH9(CCl)3,mp-1196119,5.6312,3.41338115,0.0,"{13: 1, 15: 1, 1: 9, 6: 3, 17: 3}","[1, 6, 13, 15, 17]",1963131151173,Al1P1H9C3Cl3
P2H9(CBr)3,mp-779221,2.3988,0.04348778,0.0,"{15: 2, 1: 9, 6: 3, 35: 3}","[1, 6, 15, 35]",1963152353,P2H9C3Br3
AlSiH9C3Cl2O,mp-24308,5.6642,-2.46481438,0.0,"{13: 1, 14: 1, 1: 9, 6: 3, 17: 2, 8: 1}","[1, 6, 8, 13, 14, 17]",196381131141172,Al1Si1H9C3Cl2O1
GaPH9C3Cl3O,mp-1198682,4.9838000000000005,-2.64894325,0.0,"{31: 1, 15: 1, 1: 9, 6: 3, 17: 3, 8: 1}","[1, 6, 8, 15, 17, 31]",196381151173311,Ga1P1H9C3Cl3O1
LiB12PC,mp-1222458,2.4016,7.56708557,0.0,"{3: 1, 5: 12, 15: 1, 6: 1}","[3, 5, 6, 15]",3151261151,Li1B12P1C1
LiB13C2,mp-638070,2.7108,6.99972586,0.0,"{3: 1, 5: 13, 6: 2}","[3, 5, 6]",3151362,Li1B13C2
LiBC,mp-9244,0.8471000000000002,4.2961937,0.0,"{3: 1, 5: 1, 6: 1}","[3, 5, 6]",315161,Li1B1C1
LiB6C,mp-569450,1.3921999999999999,4.52697635,0.0,"{3: 1, 5: 6, 6: 1}","[3, 5, 6]",315661,Li1B6C1
LiC12,mp-1021323,0.0,5.10006627,0.0,"{3: 1, 6: 12}","[3, 6]",31612,Li1C12
NaLiCO3,mp-559533,4.4629,4.87605625,0.0,"{11: 1, 3: 1, 6: 1, 8: 3}","[3, 6, 8, 11]",316183111,Na1Li1C1O3
KLiCO3,mp-562137,4.5495,-0.14298189,0.0,"{19: 1, 3: 1, 6: 1, 8: 3}","[3, 6, 8, 19]",316183191,K1Li1C1O3
NaLiMnPCO7,mp-760044,0.7532,0.92184567,0.0,"{11: 1, 3: 1, 25: 1, 15: 1, 6: 1, 8: 7}","[3, 6, 8, 11, 15, 25]",316187111151251,Na1Li1Mn1P1C1O7
KLiMnPCO7,mp-761124,0.4788,0.1496009,0.0,"{19: 1, 3: 1, 25: 1, 15: 1, 6: 1, 8: 7}","[3, 6, 8, 15, 19, 25]",316187151191251,K1Li1Mn1P1C1O7
LiV(CO3)2,mp-762019,1.7568,1.92453561,0.0,"{3: 1, 23: 1, 6: 2, 8: 6}","[3, 6, 8, 23]",316286231,Li1V1C2O6
LiCr(CO3)2,mp-770839,3.0397,1.4079855,0.0,"{3: 1, 24: 1, 6: 2, 8: 6}","[3, 6, 8, 24]",316286241,Li1Cr1C2O6
LiMn(CO3)2,mp-1295192,0.9049999999999998,1.63080658,0.0,"{3: 1, 25: 1, 6: 2, 8: 6}","[3, 6, 8, 25]",316286251,Li1Mn1C2O6
LiLa(CO3)2,mp-1188898,4.1747,2.30841978,0.0,"{3: 1, 57: 1, 6: 2, 8: 6}","[3, 6, 8, 57]",316286571,Li1La1C2O6
Li2CO3,mp-3054,5.0573999999999995,-0.1416317,0.0,"{3: 2, 6: 1, 8: 3}","[3, 6, 8]",326183,Li2C1O3
RbLi2CdC2O6F,mp-1192391,3.2753,-0.13419881,0.0,"{37: 1, 3: 2, 48: 1, 6: 2, 8: 6, 9: 1}","[3, 6, 8, 9, 37, 48]",32628691371481,Rb1Li2Cd1C2O6F1
Be2C,mp-1569,1.1636999999999995,6.31837236,0.0,"{4: 2, 6: 1}","[4, 6]",4261,Be2C1
K6Be4C6O19,mp-555866,4.8702000000000005,-0.86553347,0.0,"{19: 6, 4: 4, 6: 6, 8: 19}","[4, 6, 8, 19]",4466819196,K6Be4C6O19
Mg(B6C)2,mp-568803,2.1397000000000004,6.12411503,0.0,"{12: 1, 5: 12, 6: 2}","[5, 6, 12]",51262121,Mg1B12C2
B13C2,mp-576,0.0,4.74924726,0.0,"{5: 13, 6: 2}","[5, 6]",51362,B13C2
Al3BC,mp-1228446,0.4530000000000003,7.97204476,0.0,"{13: 3, 5: 1, 6: 1}","[5, 6, 13]",5161133,Al3B1C1
TbNiBC,mp-1079626,0.0,5.50462762,0.0,"{65: 1, 28: 1, 5: 1, 6: 1}","[5, 6, 28, 65]",5161281651,Tb1Ni1B1C1
ErNiBC,mp-1078704,0.0,5.44393278,0.0,"{68: 1, 28: 1, 5: 1, 6: 1}","[5, 6, 28, 68]",5161281681,Er1Ni1B1C1
LuNiBC,mp-6188,0.0,5.43717201,0.0,"{71: 1, 28: 1, 5: 1, 6: 1}","[5, 6, 28, 71]",5161281711,Lu1Ni1B1C1
LaBC,mp-568090,0.0,8.41936936,0.0,"{57: 1, 5: 1, 6: 1}","[5, 6, 57]",5161571,La1B1C1
Pr2BC,mp-1078268,0.0,3.55748178,0.0,"{59: 2, 5: 1, 6: 1}","[5, 6, 59]",5161592,Pr2B1C1
NdBC,mp-568966,0.0,5.12872266,0.0,"{60: 1, 5: 1, 6: 1}","[5, 6, 60]",5161601,Nd1B1C1
Nd2BC,mp-864790,0.0,3.48406275,0.0,"{60: 2, 5: 1, 6: 1}","[5, 6, 60]",5161602,Nd2B1C1
SmBC,mp-1208749,0.0,5.07613525,0.0,"{62: 1, 5: 1, 6: 1}","[5, 6, 62]",5161621,Sm1B1C1
ThBC,mp-570254,0.0,7.14033051,0.0,"{90: 1, 5: 1, 6: 1}","[5, 6, 90]",5161901,Th1B1C1
UBC,mp-5816,0.0,10.9472493,0.0,"{92: 1, 5: 1, 6: 1}","[5, 6, 92]",5161921,U1B1C1
Sc2BC2,mp-10343,0.0,5.48724372,0.0,"{21: 2, 5: 1, 6: 2}","[5, 6, 21]",5162212,Sc2B1C2
Al3BC3,mp-1228599,1.8202999999999996,5.95087627,0.0,"{13: 3, 5: 1, 6: 3}","[5, 6, 13]",5163133,Al3B1C3
Lu3BC3,mp-10566,0.0,4.20583994,0.0,"{71: 3, 5: 1, 6: 3}","[5, 6, 71]",5163713,Lu3B1C3
TbSi4B18C,mp-1217512,1.4466,6.7951677,0.0,"{65: 1, 14: 4, 5: 18, 6: 1}","[5, 6, 14, 65]",51861144651,Tb1Si4B18C1
Mg2B24C,mp-568556,2.4909,5.67037444,0.0,"{12: 2, 5: 24, 6: 1}","[5, 6, 12]",52461122,Mg2B24C1
CeCo2B2C,mp-1025095,0.0,7.43145145,0.0,"{58: 1, 27: 2, 5: 2, 6: 1}","[5, 6, 27, 58]",5261272581,Ce1Co2B2C1
LaNi2B2C,mp-568083,0.0,8.52996184,0.0,"{57: 1, 28: 2, 5: 2, 6: 1}","[5, 6, 28, 57]",5261282571,La1Ni2B2C1
CeNi2B2C,mp-10860,0.0,8.3589437,0.0,"{58: 1, 28: 2, 5: 2, 6: 1}","[5, 6, 28, 58]",5261282581,Ce1Ni2B2C1
PrNi2B2C,mp-6140,0.0,6.44016682,0.0,"{59: 1, 28: 2, 5: 2, 6: 1}","[5, 6, 28, 59]",5261282591,Pr1Ni2B2C1
NdNi2B2C,mp-6102,0.0,6.41707374,0.0,"{60: 1, 28: 2, 5: 2, 6: 1}","[5, 6, 28, 60]",5261282601,Nd1Ni2B2C1
EuNi2B2C,mp-21064,0.0,5.90023744,0.0,"{63: 1, 28: 2, 5: 2, 6: 1}","[5, 6, 28, 63]",5261282631,Eu1Ni2B2C1
