formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Ca2AlH10BrO8,mp-695316,4.1827,-0.55807605,0.0,"{20: 2, 13: 1, 1: 10, 35: 1, 8: 8}","[1, 8, 13, 20, 35]",11088131202351,Ca2Al1H10Br1O8
Ca2AlH10IO8,mp-677248,3.7769,-0.37817429,0.0,"{20: 2, 13: 1, 1: 10, 53: 1, 8: 8}","[1, 8, 13, 20, 53]",11088131202531,Ca2Al1H10I1O8
AlH10SO9F,mp-730446,5.459199999999999,-0.90955154,0.0,"{13: 1, 1: 10, 16: 1, 8: 9, 9: 1}","[1, 8, 9, 13, 16]",1108991131161,Al1H10S1O9F1
NaAlSi,mp-27335,0.0,4.47273968,0.0,"{11: 1, 13: 1, 14: 1}","[11, 13, 14]",111131141,Na1Al1Si1
NaAl(PS3)2,mp-1189227,2.6538,1.91297429,0.0,"{11: 1, 13: 1, 15: 2, 16: 6}","[11, 13, 15, 16]",111131152166,Na1Al1P2S6
K2NaAlP2,mp-9068,1.242,2.33952144,0.0,"{19: 2, 11: 1, 13: 1, 15: 2}","[11, 13, 15, 19]",111131152192,K2Na1Al1P2
NaSr2AlP3,mp-620652,0.31220000000000026,3.95434646,0.0,"{11: 1, 38: 2, 13: 1, 15: 3}","[11, 13, 15, 38]",111131153382,Na1Sr2Al1P3
NaEu2AlP3,mp-1193394,0.0,4.42290964,0.0,"{11: 1, 63: 2, 13: 1, 15: 3}","[11, 13, 15, 63]",111131153632,Na1Eu2Al1P3
NaAlCl4,mp-23363,5.1556999999999995,-1.12511809,0.0,"{11: 1, 13: 1, 17: 4}","[11, 13, 17]",111131174,Na1Al1Cl4
K2NaAlAs2,mp-9069,1.026,1.92259448,0.0,"{19: 2, 11: 1, 13: 1, 33: 2}","[11, 13, 19, 33]",111131192332,K2Na1Al1As2
NaAlGe,mp-7400,0.0,4.34705159,0.0,"{11: 1, 13: 1, 32: 1}","[11, 13, 32]",111131321,Na1Al1Ge1
NaAlSe2,mp-17060,2.8665999999999996,1.73703096,0.0,"{11: 1, 13: 1, 34: 2}","[11, 13, 34]",111131342,Na1Al1Se2
NaAlBr4,mp-1210155,4.1524,2.7282155,0.0,"{11: 1, 13: 1, 35: 4}","[11, 13, 35]",111131354,Na1Al1Br4
NaAlTe2,mp-10163,1.2875000000000005,3.79437726,0.0,"{11: 1, 13: 1, 52: 2}","[11, 13, 52]",111131522,Na1Al1Te2
NaAlI4,mp-29395,3.4482,0.31786354,0.0,"{11: 1, 13: 1, 53: 4}","[11, 13, 53]",111131534,Na1Al1I4
NaAl3NiCl12,mp-568785,1.2562,0.47908218,0.0,"{11: 1, 13: 3, 28: 1, 17: 12}","[11, 13, 17, 28]",1111331712281,Na1Al3Ni1Cl12
NaAl6Sb7(TeCl3)8,mp-1200510,1.4978,2.75526968,0.0,"{11: 1, 13: 6, 51: 7, 52: 8, 17: 24}","[11, 13, 17, 51, 52]",1111361724517528,Na1Al6Sb7Te8Cl24
