formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
LiScH2Se2O7,mp-1196171,4.07,0.39438148,0.0,"{3: 1, 21: 1, 1: 2, 34: 2, 8: 7}","[1, 3, 8, 21, 34]",123187211342,Li1Sc1H2Se2O7
LiAs3H2O9,mp-1203059,2.8119,2.07214453,0.0,"{3: 1, 33: 3, 1: 2, 8: 9}","[1, 3, 8, 33]",123189333,Li1As3H2O9
Rb4LiZr3H2F19,mp-557793,6.135400000000001,-2.96827366,0.0,"{37: 4, 3: 1, 40: 3, 1: 2, 9: 19}","[1, 3, 9, 37, 40]",1231919374403,Rb4Li1Zr3H2F19
Li2H2Pd,mp-644389,0.0,2.19731764,0.0,"{3: 2, 1: 2, 46: 1}","[1, 3, 46]",1232461,Li2H2Pd1
Li2H2Pt,mp-644136,0.0,2.8125772,0.0,"{3: 2, 1: 2, 78: 1}","[1, 3, 78]",1232781,Li2H2Pt1
Li2VCrP2(HO5)2,mp-753660,2.1348999999999996,2.4185157,0.0,"{3: 2, 23: 1, 24: 1, 15: 2, 1: 2, 8: 10}","[1, 3, 8, 15, 23, 24]",1232810152231241,Li2V1Cr1P2H2O10
Li3B5(HO5)2,mp-1199091,5.833799999999999,0.47223995,0.0,"{3: 3, 5: 5, 1: 2, 8: 10}","[1, 3, 5, 8]",123355810,Li3B5H2O10
Li3V2P4(HO8)2,mp-775982,0.43389999999999995,2.13707282,0.0,"{3: 3, 23: 2, 15: 4, 1: 2, 8: 16}","[1, 3, 8, 15, 23]",1233816154232,Li3V2P4H2O16
LiCa7(GeH)3,mp-1202682,0.7149000000000001,3.35145437,0.0,"{3: 1, 20: 7, 32: 3, 1: 3}","[1, 3, 20, 32]",1331207323,Li1Ca7Ge3H3
Sr2LiB10H3O19,mp-1218822,5.3061,6.09976755,0.0,"{38: 2, 3: 1, 5: 10, 1: 3, 8: 19}","[1, 3, 5, 8, 38]",1331510819382,Sr2Li1B10H3O19
LiGaBH3O5,mp-1222409,4.4692,2.52365081,0.0,"{3: 1, 31: 1, 5: 1, 1: 3, 8: 5}","[1, 3, 5, 8, 31]",13315185311,Li1Ga1B1H3O5
LiEuH3,mp-541365,0.0,3.19817659,0.0,"{3: 1, 63: 1, 1: 3}","[1, 3, 63]",1331631,Li1Eu1H3
LiNi2P4H3O14,mp-40575,5.0358,1.10958238,0.0,"{3: 1, 28: 2, 15: 4, 1: 3, 8: 14}","[1, 3, 8, 15, 28]",1331814154282,Li1Ni2P4H3O14
K4LiH3(SO4)4,mp-709186,5.394,-0.68170104,0.0,"{19: 4, 3: 1, 1: 3, 16: 4, 8: 16}","[1, 3, 8, 16, 19]",1331816164194,K4Li1H3S4O16
Rb4LiH3(SO4)4,mp-1198331,5.095000000000001,-0.50479684,0.0,"{37: 4, 3: 1, 1: 3, 16: 4, 8: 16}","[1, 3, 8, 16, 37]",1331816164374,Rb4Li1H3S4O16
LiH3O2,mp-27281,4.543,-1.70024178,0.0,"{3: 1, 1: 3, 8: 2}","[1, 3, 8]",133182,Li1H3O2
LiAs2H3O7,mp-1192746,3.301,-0.2412673,0.0,"{3: 1, 33: 2, 1: 3, 8: 7}","[1, 3, 8, 33]",133187332,Li1As2H3O7
KLi2(HO)3,mp-1188395,4.2639,2.99959147,0.0,"{19: 1, 3: 2, 1: 3, 8: 3}","[1, 3, 8, 19]",133283191,K1Li2H3O3
CsLi2(HO)3,mp-697181,4.1415,-0.58142131,0.0,"{55: 1, 3: 2, 1: 3, 8: 3}","[1, 3, 8, 55]",133283551,Cs1Li2H3O3
Li4H3ClO3,mp-643259,4.4775,-1.91211795,0.0,"{3: 4, 1: 3, 17: 1, 8: 3}","[1, 3, 8, 17]",133483171,Li4H3Cl1O3
Li4H3BrO3,mp-753690,4.4379,-2.07285937,0.0,"{3: 4, 1: 3, 35: 1, 8: 3}","[1, 3, 8, 35]",133483351,Li4H3Br1O3
LiBH4,mp-1192133,6.3705,2.42726724,0.0,"{3: 1, 5: 1, 1: 4}","[1, 3, 5]",143151,Li1B1H4
K10LiZr6H4O2F35,mp-1196541,0.00039999999999995595,3.17906773,0.0,"{19: 10, 3: 1, 40: 6, 1: 4, 8: 2, 9: 35}","[1, 3, 8, 9, 19, 40]",1431829351910406,K10Li1Zr6H4O2F35
Li2BeH4,mp-1180666,4.5911,2.36262188,0.0,"{3: 2, 4: 1, 1: 4}","[1, 3, 4]",143241,Li2Be1H4
Li2H4(SO4)3,mp-720254,5.8773,-1.43378782,0.0,"{3: 2, 1: 4, 16: 3, 8: 12}","[1, 3, 8, 16]",1432812163,Li2H4S3O12
Li3H4Rh,mp-697047,0.3917999999999999,1.02780984,0.0,"{3: 3, 1: 4, 45: 1}","[1, 3, 45]",1433451,Li3H4Rh1
Li4H4Rh,mp-27797,0.0,1.65596075,0.0,"{3: 4, 1: 4, 45: 1}","[1, 3, 45]",1434451,Li4H4Rh1
Li3MgZn5(BH4)15,mp-1197046,5.202999999999999,-3.83770097,0.0,"{3: 3, 12: 1, 30: 5, 5: 15, 1: 60}","[1, 3, 5, 12, 30]",16033515121305,Li3Mg1Zn5B15H60
Na2LiAlH6,mp-24413,2.8917,0.72957574,0.0,"{11: 2, 3: 1, 13: 1, 1: 6}","[1, 3, 11, 13]",1631112131,Na2Li1Al1H6
LiMgAlH6,mp-1193498,3.3555,0.15304667,0.0,"{3: 1, 12: 1, 13: 1, 1: 6}","[1, 3, 12, 13]",1631121131,Li1Mg1Al1H6
LiMgH6Ir,mp-866640,3.3760000000000003,0.89988045,0.0,"{3: 1, 12: 1, 1: 6, 77: 1}","[1, 3, 12, 77]",1631121771,Li1Mg1H6Ir1
K2LiAlH6,mp-23774,2.5761,0.14027695,0.0,"{19: 2, 3: 1, 13: 1, 1: 6}","[1, 3, 13, 19]",1631131192,K2Li1Al1H6
Li(BH)6,mp-1198726,5.6126000000000005,-1.71115326,0.0,"{3: 1, 5: 6, 1: 6}","[1, 3, 5]",163156,Li1B6H6
LiMn3Al2(HO2)6,mp-690617,0.5024,-1.42894511,0.0,"{3: 1, 25: 3, 13: 2, 1: 6, 8: 12}","[1, 3, 8, 13, 25]",1631812132253,Li1Mn3Al2H6O12
LiMn3H6(SeO3)8,mp-1196748,1.6130999999999998,0.40045947,0.0,"{3: 1, 25: 3, 1: 6, 34: 8, 8: 24}","[1, 3, 8, 25, 34]",1631824253348,Li1Mn3H6Se8O24
LiAl2H6ClO6,mp-643655,4.9389,-0.40500802,0.0,"{3: 1, 13: 2, 1: 6, 17: 1, 8: 6}","[1, 3, 8, 13, 17]",163186132171,Li1Al2H6Cl1O6
LiAl2H6BrO6,mp-1097038,4.7911,4.56717609,0.0,"{3: 1, 13: 2, 1: 6, 35: 1, 8: 6}","[1, 3, 8, 13, 35]",163186132351,Li1Al2H6Br1O6
LiTcH6O7,mp-1192681,3.4433999999999996,1.36753937,0.0,"{3: 1, 43: 1, 1: 6, 8: 7}","[1, 3, 8, 43]",163187431,Li1Tc1H6O7
