formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Cr5NiAs3,mp-1226031,0.0,6.9887641,0.08280135111111164,"{24: 5, 28: 1, 33: 3}","[24, 28, 33]",245281333,Cr5Ni1As3
Cr5NiSn12,mp-1226062,0.0,8.98512378,0.13457330611111207,"{24: 5, 28: 1, 50: 12}","[24, 28, 50]",2452815012,Cr5Ni1Sn12
Cr7Ni20Mo3,mp-768498,0.0,7.92211019,0.015227642666665986,"{24: 7, 28: 20, 42: 3}","[24, 28, 42]",2472820423,Cr7Ni20Mo3
Cr8Ni50Mo15W2,mp-767372,0.0,8.14847178,0.02753527933333544,"{24: 8, 28: 50, 42: 15, 74: 2}","[24, 28, 42, 74]",24828504215742,Cr8Ni50Mo15W2
Cr8Ni50Mo17,mp-766895,0.0,8.16878953,0.02692117808888561,"{24: 8, 28: 50, 42: 17}","[24, 28, 42]",24828504217,Cr8Ni50Mo17
MnCoNiSn,mp-1221649,0.0,8.32156153,0.039662316666666975,"{25: 1, 27: 1, 28: 1, 50: 1}","[25, 27, 28, 50]",251271281501,Mn1Co1Ni1Sn1
MnNi,mp-11500,0.0,6.22194089,0.0,"{25: 1, 28: 1}","[25, 28]",251281,Mn1Ni1
MnCuNiSn,mp-1221630,0.0,8.40153719,0.06911206149938476,"{25: 1, 29: 1, 28: 1, 50: 1}","[25, 28, 29, 50]",251281291501,Mn1Cu1Ni1Sn1
MnGaNi,mp-1210773,0.0,6.11045648,0.011312523017240395,"{25: 1, 31: 1, 28: 1}","[25, 28, 31]",251281311,Mn1Ga1Ni1
MnGa2Ni,mp-1206866,0.0,6.1086332,0.12461850525862062,"{25: 1, 31: 2, 28: 1}","[25, 28, 31]",251281312,Mn1Ga2Ni1
MnNiGe,mp-20007,0.0,7.47363299,0.0,"{25: 1, 28: 1, 32: 1}","[25, 28, 32]",251281321,Mn1Ni1Ge1
MnNiAs,mp-1079845,0.0,7.18998564,0.0,"{25: 1, 28: 1, 33: 1}","[25, 28, 33]",251281331,Mn1Ni1As1
MnNiSe2,mp-1221348,0.0,7.15066949,0.08575288833333516,"{25: 1, 28: 1, 34: 2}","[25, 28, 34]",251281342,Mn1Ni1Se2
ZrMnNi,mp-1215315,0.0,6.06209534,0.042726079583331966,"{40: 1, 25: 1, 28: 1}","[25, 28, 40]",251281401,Zr1Mn1Ni1
MnNiSnRh,mp-1221328,0.0,8.10547302,0.046244431517601825,"{25: 1, 28: 1, 50: 1, 45: 1}","[25, 28, 45, 50]",251281451501,Mn1Ni1Sn1Rh1
MnNiSnPd,mp-1221332,0.0,7.87405047,0.054043701803161426,"{25: 1, 28: 1, 50: 1, 46: 1}","[25, 28, 46, 50]",251281461501,Mn1Ni1Sn1Pd1
MnNiSb,mp-600124,0.0,7.85258082,0.0,"{25: 1, 28: 1, 51: 1}","[25, 28, 51]",251281511,Mn1Ni1Sb1
MnNiSb2,mp-1221333,0.0,8.35846976,0.039574244375000234,"{25: 1, 28: 1, 51: 2}","[25, 28, 51]",251281512,Mn1Ni1Sb2
MnNiTe2,mp-1221364,0.0,8.13643674,0.03340843051723752,"{25: 1, 28: 1, 52: 2}","[25, 28, 52]",251281522,Mn1Ni1Te2
Hf2MnNi,mp-1095824,0.0,-2.63831444,3.6818905746875004,"{72: 2, 25: 1, 28: 1}","[25, 28, 72]",251281722,Hf2Mn1Ni1
MnZnNi2,mp-1186005,0.0,5.75846472,0.0,"{25: 1, 30: 1, 28: 2}","[25, 28, 30]",251282301,Mn1Zn1Ni2
MnGaNi2,mp-601285,0.0,6.373966,0.0,"{25: 1, 31: 1, 28: 2}","[25, 28, 31]",251282311,Mn1Ga1Ni2
MnNi2Ge,mp-22029,0.0,8.10774923,0.01854423213362022,"{25: 1, 28: 2, 32: 1}","[25, 28, 32]",251282321,Mn1Ni2Ge1
MnInNi2,mp-22731,0.0,7.9551134,0.03854070617816063,"{25: 1, 49: 1, 28: 2}","[25, 28, 49]",251282491,Mn1In1Ni2
MnNi2Sn,mp-20440,0.0,8.86435789,0.01119294053519937,"{25: 1, 28: 2, 50: 1}","[25, 28, 50]",251282501,Mn1Ni2Sn1
MnNi2Sb,mp-5124,0.0,9.37081215,0.06822530249999659,"{25: 1, 28: 2, 51: 1}","[25, 28, 51]",251282511,Mn1Ni2Sb1
HoMnNi2,mp-1224273,0.0,5.6144402,0.06431598385057669,"{67: 1, 25: 1, 28: 2}","[25, 28, 67]",251282671,Ho1Mn1Ni2
MnNi3,mp-11501,0.0,7.2372785,0.0,"{25: 1, 28: 3}","[25, 28]",251283,Mn1Ni3
YMnNi4,mp-1077362,0.0,5.85893789,0.032461854315131156,"{39: 1, 25: 1, 28: 4}","[25, 28, 39]",251284391,Y1Mn1Ni4
LaMnNi4,mp-1222879,0.0,7.62216566,0.03347835617816486,"{57: 1, 25: 1, 28: 4}","[25, 28, 57]",251284571,La1Mn1Ni4
CeMnNi4,mp-5951,0.0,7.74746711,0.03398594020594192,"{58: 1, 25: 1, 28: 4}","[25, 28, 58]",251284581,Ce1Mn1Ni4
